variant,ratio,spacing,opens_with_pos,opens_without_pos,resets_up,resets_dn,paused_frac,final_btc,bucket_btc,bucket_avg_cost,final_pool,interest,avg_exposure,final,invested,moic,irr_ann,max_dd,btc_vs_dca
基準(立即重開),0.5,0.03,170,0,99,70,0.0,5.674617530908081,5.6477514929057335,19710.265611349685,3023.9540004140426,1175.2601316512123,0.9174559133141649,422027.53557044,101000.0,4.178490451192475,0.32735596611746964,-0.7424773238345058,0.8772582387460056
冷卻(下破等月投),0.5,0.03,97,0,55,41,0.22067092217845988,5.369483992997683,5.34625909621291,20646.546856363933,4004.626242376819,1568.0688032275018,0.8966194467305706,400839.4779083879,101000.0,3.9687077020632464,0.31554223025864414,-0.7406224810155495,0.8300866172945812
