window,months,grid_moic,grid_irr,grid_mdd,gridB_moic,gridB_irr,gridB_mdd,dca_moic,dca_irr,dca_mdd
全期間 18/01-26/05,101,557.097989718998,1.716508503272122,-0.26342264366940626,9946.28788381133,2.9673584154001578,-0.206420176595434,4.718503861278017,0.3553243108523221,-0.7538288801609292
19/01-20/12 回升牛,24,6.1763852456994695,3.2117611187529196,-0.24783280105264283,12.38878837234961,5.67003411461906,-0.1934354891471891,3.9380707471891347,2.0724343277071178,-0.5844686649165715
21/01-22/12 頂部進場,24,2.1216834963937314,0.9244266283401856,-0.2043777623162608,3.883545415716758,2.041677109523105,-0.13601383783385368,0.5033599183500649,-0.5259151065070794,-0.5732533245640786
22/01-22/12 純熊市,12,1.192655069721784,0.37377448175973793,-0.20437776231626092,1.3963787184907073,0.8037968424724573,-0.13601383783385368,0.6228733767146232,-0.6098247467520227,-0.4423628858980967
23/01-24/12 復甦牛,24,3.5247321299538146,1.8346173215172694,-0.11881448097986691,5.830077552054433,3.0485788878384765,-0.09383622775247902,2.5263569547961247,1.2069868059121904,-0.267294274182279
24/06-26/05 近兩年,24,2.0673015761054776,0.8848738360861903,-0.10634154436254206,2.7630710863173333,1.363808738411059,-0.08033102955996996,0.892733240988346,-0.10496465781863207,-0.39251333483418194
