start,grid_moic,dca_moic,grid_mdd,dca_mdd
2018-01-01 00:00:00+00:00,3.162286074035293,1.0983586644358645,-0.22050782197596508,-0.4633782840913685
2018-04-01 00:00:00+00:00,3.597563750710079,1.0042426964552715,-0.26139389766756893,-0.5939022946710366
2018-07-01 00:00:00+00:00,4.371295154888123,1.4284186866634085,-0.25854579990736837,-0.5906145355754833
2018-10-01 00:00:00+00:00,4.501794216694094,1.6194675615851715,-0.2545178648204929,-0.5884631534000445
2019-01-01 00:00:00+00:00,6.1763852456994695,3.9380707471891347,-0.24783280105264283,-0.5844686649165715
2019-04-01 00:00:00+00:00,10.2073421331358,6.196714957871096,-0.23279162438066492,-0.5729225384920251
2019-07-01 00:00:00+00:00,8.620004615092082,2.9860795485970346,-0.2179768545903893,-0.5535612833457362
2019-10-01 00:00:00+00:00,8.735701880916292,3.3296328047260504,-0.21797685459038918,-0.5486083336065305
2020-01-01 00:00:00+00:00,7.934999927523786,2.9228557740751775,-0.2179768545903894,-0.5486083336065304
2020-04-01 00:00:00+00:00,6.649363840910043,2.324197263697808,-0.17069482631428956,-0.5268431959742186
2020-07-01 00:00:00+00:00,3.964778504282204,0.7712309405806133,-0.22003837299109397,-0.6830968369988213
2020-10-01 00:00:00+00:00,3.1506328711113385,0.6375126938916635,-0.21098676967345642,-0.6489857095166909
2021-01-01 00:00:00+00:00,2.1216834963937314,0.5033599183500649,-0.2043777623162608,-0.5732533245640786
2021-04-01 00:00:00+00:00,2.2862182134505424,0.9372026689663059,-0.2043777623162608,-0.5436311825757534
2021-07-01 00:00:00+00:00,2.255021573632656,1.0602079461418765,-0.20437776231626092,-0.5224529254433283
2021-10-01 00:00:00+00:00,1.9848403320937862,0.9736716515380998,-0.2043777623162608,-0.4737776121883034
2022-01-01 00:00:00+00:00,2.4747100979132806,1.5899054364540168,-0.20437776231626092,-0.4423628858980967
2022-04-01 00:00:00+00:00,3.3923556804440467,2.65851244703788,-0.2043777623162608,-0.4423628858980967
2022-07-01 00:00:00+00:00,3.2137283798154046,2.2505893736659455,-0.11881448097986724,-0.27023527124065205
2022-10-01 00:00:00+00:00,3.1225265760866243,2.0211717212969798,-0.11881448097986713,-0.27501899452707557
2023-01-01 00:00:00+00:00,3.5247321299538146,2.5263569547961247,-0.11881448097986691,-0.267294274182279
2023-04-01 00:00:00+00:00,3.251252270727745,1.8348836336170407,-0.09309161853966008,-0.260725926209186
2023-07-01 00:00:00+00:00,3.325049348196748,2.052478943334588,-0.09309161853965997,-0.2533814751260929
2023-10-01 00:00:00+00:00,2.9242613869561556,1.812676187496258,-0.09309161853966008,-0.24723059928970303
2024-01-01 00:00:00+00:00,2.395428111315812,1.161371458384922,-0.1063415443625424,-0.32765078224990063
2024-04-01 00:00:00+00:00,2.1230885178079757,0.8352911211213456,-0.1063415443625424,-0.4065990311041586
