g,m,resets_up,resets_dn,paused_frac,coin_qty,coin_value,coin_share,final,invested,moic,irr_ann,max_dd
0.01,2,227,217,0.8797636832812712,6.399376409574446,471470.15335578745,1.0,471470.15335578745,101000.0,4.668021320354331,0.3528434533061733,-0.753618129339613
0.02,2,220,215,0.6733804155914709,6.362993412504876,468789.6582403151,1.0,468789.6582403151,101000.0,4.641481764755595,0.35152890624525734,-0.7534323207723747
0.01,3,547,496,0.5732853456471547,6.345061320853941,467468.52232650836,1.0,467468.52232650836,101000.0,4.628401211153548,0.35087835563627623,-0.7534250436509029
0.03,2,196,183,0.4634931413825886,6.287385787554407,463219.3125927405,0.9999997768331937,463219.4159679382,101000.0,4.586330851167705,0.3487740171556808,-0.7525067704978728
0.02,3,361,325,0.20914029607496945,6.284782983134193,463027.5525647919,0.9999469991417334,463052.0947232344,101000.0,4.584674205180539,0.348690774673468,-0.7525965205521673
0.01,5,505,490,0.17957354339263887,6.232781353946018,459196.364255347,1.0,459196.364255347,101000.0,4.546498655993535,0.346764517442548,-0.7529427198184314
0.03,3,193,170,0.14045905201684097,6.213093368494719,457745.86393689364,0.9999575968682484,457765.2746181446,101000.0,4.532329451664798,0.3460456227826829,-0.7523614509395196
0.05,2,138,111,0.22997419530082847,6.137462735474877,452173.8231838429,0.9954898251039154,454222.4458563825,101000.0,4.497251939172104,0.3442566038846795,-0.751662782677786
0.01,7,358,334,0.05086242020915388,6.150697933921543,453148.91835592996,0.9977203413014178,454184.30355428695,101000.0,4.4968742926167025,0.3442372704947172,-0.752651330506637
0.02,5,207,186,0.050971071574086646,6.036095448100895,444705.6501206101,0.99540672498489,446757.73124534654,101000.0,4.423343873716302,0.34044292883825866,-0.7513883704257045
0.05,7,21,15,0.0,5.7985236948405605,427202.69611792447,0.9727448644149054,439172.3994090494,101000.0,4.34824157830742,0.33650445513231464,-0.7420862950766355
0.01,10,205,180,0.011571370365340214,5.960493005741941,439135.686297304,0.9999452284800451,439159.73974375275,101000.0,4.348116235086661,0.33649782750019286,-0.750245594264016
0.02,7,114,99,0.0,5.800245975708306,427329.5841102642,0.9952923513663533,429350.8168967834,101000.0,4.250998187096865,0.3313066144519292,-0.7489761613602994
0.05,3,83,70,0.04988455792475893,5.6977064805466435,419775.04935332085,0.9952161291772389,421792.85187063395,101000.0,4.176166850204297,0.32722827428918144,-0.7465525668026533
0.03,5,93,81,0.03436099415998913,5.650042529090684,416263.4368048134,0.9902395971705187,420366.3820293919,101000.0,4.162043386429622,0.3264506546096688,-0.747225300474774
0.03,10,25,18,0.0,5.508575559174865,405840.94409111707,0.9680892491088976,419218.521912813,101000.0,4.1506784347803265,0.3258230675746314,-0.7406821041864919
0.03,7,49,39,0.0,5.606700480830636,413070.2378379038,0.9901999637280221,417158.4053414101,101000.0,4.13028124100406,0.32469254596833474,-0.7434599770010346
0.02,10,51,41,0.0,5.37861090686406,396265.87761055643,0.9896544240596904,400408.332420748,101000.0,3.964438934858891,0.3152956352873868,-0.7453148692771472
0.05,5,34,26,0.006369686269183756,5.322354520944775,392121.22269434854,0.9837820992009509,398585.44185022055,101000.0,3.94639051336852,0.3142501852962072,-0.7398262304445975
0.05,10,11,7,0.0,4.2541306656487565,313420.4817719661,0.8300775877466574,377579.7424223712,101000.0,3.738413291310606,0.30185786201097864,-0.7195509508648732
