strategy,moic,irr_ann,max_dd,calmar,coin_ratio,avg_cost,premium
現金5%,1.0788297197764012,0.05126534580488018,0.0,,,,
DCA,0.7937440063917786,-0.1478835709394014,-0.5778152475465488,-0.2559357364959254,1.0,,
網格,0.7649691744037199,-0.17041925698392513,-0.5268749531048265,-0.3234529483317813,0.882827184652413,3079.3887081774365,
DCA+CC,0.7977167077110728,-0.14481374813604087,-0.5673088859313642,-0.25526437488864073,1.0050050158329427,,12216.46033069772
抄底寶DCA,0.7906577425379631,-0.15027524573938,-0.5802472372067078,-0.25898485353036815,0.9961110992141978,,932.873041830141
雙輪,1.1176904844068107,0.07564585384951172,-0.36674178725242146,0.20626461581114047,1.1342156235178884,,2955.4151377922735
