start,現金5%_moic,現金5%_mdd,DCA_moic,DCA_mdd,網格_moic,網格_mdd,DCA+CC_moic,DCA+CC_mdd,抄底寶DCA_moic,抄底寶DCA_mdd,雙輪_moic,雙輪_mdd
2021-06-01 00:00:00+00:00,1.0538486366467004,0.0,0.9326604121525729,-0.6818673610974817,0.9602265960899992,-0.6241034007609549,0.9956629834032369,-0.6852330206112912,0.9489945759033134,-0.6812757150307303,0.9704390170031998,-0.5827187877911701
2021-09-01 00:00:00+00:00,1.0539616622094972,0.0,0.845643011887788,-0.6497896916036482,0.9308134709564257,-0.5707331650939576,0.8737490188379968,-0.652200357071002,0.8623210960139527,-0.6481214484415289,0.9708111837272967,-0.5405367402144603
2021-12-01 00:00:00+00:00,1.0539274993584349,0.0,1.1311521696775642,-0.6099994609832646,1.1497715528545487,-0.5084322193436527,1.1397252629273542,-0.6118988362603215,1.1548031223319246,-0.6090043009242021,1.125487972860938,-0.4746607462904694
2022-03-01 00:00:00+00:00,1.0538935836483918,0.0,1.9112296788615228,-0.5395875763747455,1.6510907632335374,-0.43884421302141674,1.9126912458112602,-0.5398734154661756,1.927888449783319,-0.534808164548469,1.3439566228806792,-0.39355530935694893
2022-06-01 00:00:00+00:00,1.0539839284246557,0.0,2.135847348593672,-0.5395875763747454,1.7650581456682124,-0.39900613643015403,2.126406654809999,-0.5395875763747454,2.153099928576497,-0.5268687622981794,1.3876940965150082,-0.23014864807502733
2022-09-01 00:00:00+00:00,1.0540748127934088,0.0,1.3033487627464289,-0.3961173914834071,1.1270412722891119,-0.3435665156373725,1.3403738242689198,-0.3778611635199627,1.3111101575511646,-0.3943777970874328,1.2486764145386449,-0.14995298488304365
2022-12-01 00:00:00+00:00,1.0540224536835223,0.0,1.789388364141463,-0.3901030692600036,1.4546373286536582,-0.31985888578021426,1.7825528481899306,-0.3717080302681385,1.7904590808609158,-0.387583535777163,1.5705498921865753,-0.10294508886149556
2023-03-01 00:00:00+00:00,1.0538262782216077,0.0,0.9537847093857992,-0.4523947090329279,0.8435142114795532,-0.4138137794649207,0.9758839026275433,-0.43328348497515223,0.9609306936011922,-0.4526552541333162,1.2852913133774175,-0.15309646049449144
2023-06-01 00:00:00+00:00,1.0539152403355831,0.0,1.0614430415599232,-0.5828628120242997,0.9592816938718083,-0.5225777858970928,1.0904706810207012,-0.5693418153701384,1.0513329141042924,-0.5852024487560195,1.4294501507390303,-0.27635526072624506
2023-09-01 00:00:00+00:00,1.0540044582663628,0.0,1.7486732461787846,-0.5653265169904826,1.5565419884584595,-0.4888560929481707,1.7105351400589812,-0.5515520108192316,1.7218786847386975,-0.567404632871021,1.6561703467900535,-0.265310849393241
2023-12-01 00:00:00+00:00,1.053950421452066,0.0,1.0629734434828866,-0.531789721323097,1.0343497344540453,-0.4497189519080609,1.067003762569657,-0.5175235498099129,1.0405194900422297,-0.5337452155019347,1.4315768201969379,-0.24940082469695568
2024-03-01 00:00:00+00:00,1.0537525574129176,0.0,0.6748097275210483,-0.5434890622802544,0.7195559622358036,-0.4837259172339039,0.674870362099086,-0.5388306461013007,0.671572819788882,-0.5417077800846379,0.9214104102101195,-0.35529500932317937
2024-06-01 00:00:00+00:00,1.0538594035471411,0.0,0.7329725772157566,-0.5323292828635333,0.7760608022473758,-0.4609510605160151,0.7313552819416435,-0.5272593777321751,0.7306823818280339,-0.5300481490354583,0.9101285465249909,-0.3483839162933131
