start,dca_moic,dca_mdd,dca_btc,cc10_moic,cc10_mdd,cc10_btc,cc10ema_moic,cc10ema_mdd,cc10ema_btc,cc10_btc_ratio,cc10ema_btc_ratio
2021-06-01 00:00:00+00:00,0.9355092568525938,-0.5330175998781941,0.8251353681397796,0.9807543885678445,-0.4775338924901872,0.773165486578181,0.943850867919513,-0.5351431771815848,0.7440730564742687,0.9370165386574547,0.9017587722021161
2021-09-01 00:00:00+00:00,0.9180783058902416,-0.49207908888876783,0.8493915503452787,0.9415468497132188,-0.43243722908350246,0.7794231580480229,0.9120402977109584,-0.49372567102393683,0.8429297586180934,0.9176252786258428,0.9923924464229029
2021-12-01 00:00:00+00:00,1.404414466659857,-0.45058137128688125,0.8934891034726091,1.3469064822701835,-0.39282354391544516,0.624998103486234,1.319057801030338,-0.45099737529625816,0.6120756228325216,0.6995027707188977,0.6850398291972963
2022-03-01 00:00:00+00:00,2.2973316056238895,-0.4423628858980967,0.9019315334871671,2.0974147933052585,-0.39282354391544516,0.4688086561440085,2.0735299232255016,-0.4423628858980967,0.46346997259890954,0.5197829754675928,0.513863808272653
2022-06-01 00:00:00+00:00,2.4683318325257217,-0.4423628858980967,0.8771091976536178,2.2585934673568424,-0.39282354391544505,0.533825593731351,2.2560586206685636,-0.4423628858980967,0.5332264748292793,0.6086193089291555,0.6079362481384645
2022-09-01 00:00:00+00:00,1.9630509202681785,-0.276990370569253,0.7988813727278125,1.8257733978578026,-0.26449636587085656,0.48549117201863234,1.8469676619981552,-0.27023527124065216,0.6703774513362708,0.6077137214514131,0.8391451775214637
2022-12-01 00:00:00+00:00,2.7949871902302554,-0.2700922907934251,0.6957897635406165,2.418067178886217,-0.25703595306290916,0.33772184777135206,2.5024738794340715,-0.25853362970783467,0.34951059670364365,0.48537915541155796,0.5023221309337947
2023-03-01 00:00:00+00:00,1.9849991617472187,-0.2630823558884059,0.5647897305194675,1.870080398523542,-0.24535159050023037,0.4670175505445674,1.9131507060762425,-0.24555789199682998,0.4779323052860752,0.8268874685717572,0.8462128106445831
2023-06-01 00:00:00+00:00,2.121929459929234,-0.2567773071262688,0.48690497807575134,2.007279614657541,-0.23781482571819912,0.37275190048227813,2.1038398582673925,-0.23797468078459938,0.390683141378552,0.7655536855576909,0.8023806676253997
2023-09-01 00:00:00+00:00,1.8525303803961177,-0.24992021899049366,0.4107365202568662,1.7999300720103362,-0.2371578293771971,0.3560189137683918,1.8800512162499599,-0.23737632339684034,0.3718665531770787,0.8667817352733691,0.9053652033291828
2023-12-01 00:00:00+00:00,1.255389834145772,-0.329280901921448,0.3334368749391161,1.2674870483755358,-0.3130565736739094,0.3015689239457924,1.3090158769849811,-0.3162658319603956,0.3475438369171206,0.9044258347276597,1.0423077440987303
2024-03-01 00:00:00+00:00,0.8232343863604555,-0.41274077593596314,0.2950076683239092,0.8645482089839267,-0.3828248595504673,0.22508236444665938,0.8596378969588748,-0.4051234698924113,0.3080529382474886,0.7629712330037672,1.0442201045067618
2024-06-01 00:00:00+00:00,0.8927383364977125,-0.39251333483418194,0.290816389195012,0.9329568348544051,-0.36214051923296475,0.30328205018751786,0.9222820844095202,-0.3850035875639489,0.30041823060600326,1.0428643689133585,1.0330168510707716
