config,frac,otm,trigger,final_btc,n_calls,n_exercised,premium_total,called_qty,called_proceeds,final,invested,moic,irr_ann,max_dd,btc_ratio,calmar
純 DCA,0.0,0.03,always,0.5825711192091753,0,0,0.0,0.0,0.0,42920.571839353266,35000.0,1.2263020525529504,0.1409935794780297,-0.45627211690526215,1.0,0.3090120440283333
DCA+CC 5% 常態,0.05,0.03,always,0.5884236786612822,1066,98,2411.091361823339,1.5571553044446036,118422.72880091227,43397.198621693504,35000.0,1.2399199606198144,0.1489179909356655,-0.44090277590935456,1.0100460858067453,0.33775698197527704
DCA+CC 10% 常態,0.1,0.03,always,0.592097398628284,1066,98,4334.834389297788,2.856338520333871,217657.99104227737,43713.86816528498,35000.0,1.248967661865285,0.1541517485865569,-0.4256576642752913,1.016352131276333,0.3621495899739286
DCA+CC 25% 常態,0.25,0.03,always,0.5955473872076106,1066,98,8007.234545955784,5.582132346728455,427918.28750609345,44106.55640645844,35000.0,1.2601873258988125,0.1606078240725617,-0.3805974710962099,1.0222741354155185,0.42198867903660403
DCA+CC 5% EMA上,0.05,0.03,above_ema,0.5887196940031012,735,71,1631.7602046647614,1.0027632714537411,78127.22941891711,43375.171401816,35000.0,1.2392906114804572,0.14855301469617177,-0.4511485306353449,1.0105542046132883,0.32927739892440094
DCA+CC 10% EMA上,0.1,0.03,above_ema,0.593813045323448,735,71,2947.603176064633,1.8461530221937807,144659.82171321247,43752.05582583154,35000.0,1.2500587378809012,0.1547812299782656,-0.4461151872576563,1.0192970879324286,0.34695350976444306
DCA+CC 25% EMA上,0.25,0.03,above_ema,0.6046605661647687,735,71,5553.703702640299,3.67773627353446,292900.4850433622,44556.25126900151,35000.0,1.2730357505429002,0.16795544776489235,-0.4316814258880922,1.0379171679254875,0.38907267649832267
