config,otm,trigger,final_btc,bucket_avg_cost,avg_exposure,n_calls,n_exercised,premium_total,called_qty,called_proceeds,final,invested,moic,irr_ann,max_dd,btc_ratio,ex_rate
基準(無call),,always,0.48651199128324296,72287.85814699614,0.7040894649899195,0,0,0.0,0.0,0.0,39792.698205975685,35000.0,1.1369342344564481,0.08751564656170974,-0.3855582587690002,0.835116524208411,0.0
常態輪動 otm=2%,0.02,always,0.1857486940907216,76026.57730196792,0.24066199955823836,1018,174,1681.707689053636,1.2750308859156598,91643.4569399862,40815.26697129235,35000.0,1.1661504848940671,0.10528981846780705,-0.11430057075168576,0.318844769634844,0.17092337917485265
常態輪動 otm=3%,0.03,always,0.20155669109844748,80858.38451881472,0.27559866314691306,1018,97,1367.5142958806632,1.154009548035981,82833.46569531306,40069.14126733711,35000.0,1.1448326076382032,0.09234971549773952,-0.12652758413220644,0.3459798038217058,0.09528487229862476
常態輪動 otm=5%,0.05,always,0.27181636163415257,90824.47470610526,0.41304426474722616,1018,29,775.4683946702537,0.8658148769925856,63205.10337023685,39682.20631019374,35000.0,1.1337773231483925,0.0855774133123417,-0.22794717062368974,0.466583227583251,0.02848722986247544
EMA上才賣 otm=2%,0.02,above_ema,0.4584672132323546,90998.18690064848,0.36504473971663076,687,119,1074.764292874702,0.71658007100467,53336.72308407306,40705.57109693792,35000.0,1.1630163170553691,0.10339704010943529,-0.2108121169731494,0.786976585239427,0.17321688500727803
EMA上才賣 otm=3%,0.03,above_ema,0.4740687510039054,93469.27384818552,0.3971352730900328,687,70,875.6332921596182,0.6623291438971993,50789.66790749938,41370.57534879651,35000.0,1.1820164385370433,0.11482120984257849,-0.2290240694062602,0.8137572242154935,0.10189228529839883
EMA上才賣 otm=5%,0.05,above_ema,0.47475335451683376,93633.78160150452,0.5066244867570706,687,20,476.33833066169063,0.45543263309994136,33782.40492288942,39922.73234953254,35000.0,1.1406494957009297,0.08979221728925069,-0.30116203979852163,0.8149323724470295,0.02911208151382824
