start,dca_moic,dca_mdd,base_moic,base_mdd,base_btc_ratio,base_prem,always_moic,always_mdd,always_btc_ratio,always_prem,ematrig_moic,ematrig_mdd,ematrig_btc_ratio,ematrig_prem
2021-06-01 00:00:00+00:00,0.935503917218363,-0.5330175998781941,0.9471867556959912,-0.4508738982685465,0.6868690494296079,0.0,1.148791964935534,-0.16082664464101504,0.44432611688004925,1642.7967442606648,0.9264360104819539,-0.45410535785947925,0.35576069728128246,457.9549157910138
2021-09-01 00:00:00+00:00,0.9180730657471721,-0.49207908888876783,0.9619007331386258,-0.38860953650349417,0.7630767113798498,0.0,1.1198204929702575,-0.15936091991891665,0.44324235756676056,1255.2900556263742,0.9733786265454194,-0.39105327648597776,0.4304639822695139,351.28343433913807
2021-12-01 00:00:00+00:00,1.404406450641303,-0.45058137128688125,1.3274443679275532,-0.3513689554771606,0.6893641452619271,0.0,1.2121862615353785,-0.1567621233269899,0.09119351173139215,949.4128815455203,1.1621950586973373,-0.35153000011499813,0.12093239654542702,336.91231022088874
2022-03-01 00:00:00+00:00,2.297318493075413,-0.4423628858980967,2.0454231350924315,-0.3141151114455951,0.7890695320695511,0.0,1.330381370711153,-0.18297038555595246,0.1299570195118196,829.0747126750147,1.408353460181757,-0.3141151114455951,0.1493494234441276,440.0088797138199
2022-06-01 00:00:00+00:00,2.468317743954124,-0.4423628858980967,2.0718234697183053,-0.2935575773564737,0.7550786445083718,0.0,1.3806794783104905,-0.25528901981844654,0.1675135237909054,790.732157892453,1.4765276773673064,-0.2935575773564737,0.20307437139553097,531.2990797754774
2022-09-01 00:00:00+00:00,1.963039715703592,-0.2769903705692528,1.5806598299339536,-0.24240193408759447,0.7538177448779713,0.0,1.2515498084975112,-0.11716156646984666,0.2701086489407578,803.5239754680694,1.3652896441433493,-0.12460193795936758,0.38555085089326224,631.224262479728
2022-12-01 00:00:00+00:00,2.7949712371980793,-0.270092290793425,2.2271334772640583,-0.23359034303521709,0.7362184751141382,0.0,1.3424157918891162,-0.11663410192631829,0.11885447459117322,886.6344141077819,1.5442180707168158,-0.12394457200095088,0.14926715874324736,903.3223016765286
2023-03-01 00:00:00+00:00,1.984987831907995,-0.2630823558884059,1.6913210385599708,-0.21816022715922967,0.7495508993795028,0.0,1.2804795721130648,-0.11585465138394857,0.3329983598966472,696.215829778479,1.4395269952778995,-0.12295695469681911,0.3624627207266306,720.8665046567075
2023-06-01 00:00:00+00:00,2.1219173485288425,-0.2567773071262689,1.7394038622532044,-0.19948005927244727,0.7373628757883929,0.0,1.2659185777039523,-0.11476293459969289,0.17798154170981023,774.8172442976085,1.494946775049084,-0.12154330764502574,0.31559867173539036,762.5545475679818
2023-09-01 00:00:00+00:00,1.8525198066529291,-0.24992021899049366,1.5733945059546102,-0.18472824096062412,0.7347323128281108,0.0,1.1995570451690398,-0.11315269031116737,0.2744178148821052,585.9754573393809,1.3851084627812584,-0.11950204026790434,0.33692794981209956,635.9826229740315
2023-12-01 00:00:00+00:00,1.2553826687195804,-0.3292809019214481,1.1872060693517683,-0.24574853714327338,0.8044520202471804,0.0,1.1264638143195629,-0.10211753251655065,0.27450223536142404,578.0623525651587,1.1785872877680812,-0.1345609885090313,0.6431793615533256,448.3353739516903
2024-03-01 00:00:00+00:00,0.823229687560869,-0.41274077593596314,0.8797283988789736,-0.27055815725876997,0.9425927137540836,0.0,0.9809934299593783,-0.1296358560520795,0.40210414613761547,603.4244396766073,0.8845711126707266,-0.25389847247173725,0.9229348855747121,167.97674837719953
2024-06-01 00:00:00+00:00,0.892733240988346,-0.39251333483418194,0.9580388215651425,-0.24425718055856738,0.8896540420306892,0.0,1.0559022230601556,-0.0894892394966259,0.3964619941290736,694.0900295856649,1.0194688336621385,-0.1977809830316043,0.9140579775397769,216.12575374405156
