start,win_vol,dca_moic,dca_mdd,base_moic,base_mdd,base_btc_ratio,base_cost_ratio,wait_moic,wait_mdd,wait_btc_ratio,wait_cost_ratio,hybrid_moic,hybrid_mdd,hybrid_btc_ratio,hybrid_cost_ratio
2018-01-01 00:00:00+00:00,0.766323806866304,1.0983586644358645,-0.4633782840913685,1.0002066584409377,-0.3793957748943796,0.86205214378526,1.277570656862515,0.9998799432670238,-0.36831432680588305,0.8164787555415222,1.2932652971947753,0.9898145943365195,-0.38417776594023656,0.8396024181894356,1.3015874137791112
2018-04-01 00:00:00+00:00,0.7786735505111864,1.0042426964552715,-0.5939022946710366,0.9132780373491144,-0.5628661457521947,0.902054368245906,1.2512176138950633,0.9012973696396159,-0.5436455389411261,0.8138649654859086,1.3208899812820065,0.8955063625815317,-0.5521936324887635,0.8219703754973471,1.3208679525319007
2018-07-01 00:00:00+00:00,0.769931957377744,1.4284186866634085,-0.5906145355754833,1.2489664819170154,-0.5555600882244515,0.8192330496540043,1.294425108354113,1.2091569947460208,-0.5329801733060067,0.7583977274394695,1.3527637214537485,1.2055925192741543,-0.5430229169649621,0.7620141345374724,1.352226392546128
2018-10-01 00:00:00+00:00,0.7646684006518033,1.6194675615851715,-0.5884631534000445,1.3643758016751784,-0.5443750496891189,0.7507977956892242,1.311891691694002,1.2714203510392807,-0.5137253308280828,0.6572239939826126,1.4363767670524084,1.2737928043043856,-0.5261770669249516,0.673812558262661,1.4314203498029983
2019-01-01 00:00:00+00:00,0.7481271399771523,3.9380707471891347,-0.5844686649165715,2.8665796011431413,-0.5222056937387652,0.6526789100601386,1.3048582839984348,2.6109563903404474,-0.4820613598251038,0.5866540799957117,1.4281854404669376,2.6253239452667696,-0.498754113202715,0.5813375086056957,1.420835003190117
2019-04-01 00:00:00+00:00,0.7996744390335366,6.196714957871096,-0.5729225384920251,4.889967936606701,-0.48633216524134504,0.7816749630506665,1.4789728307683487,4.381858009686676,-0.45227406752873633,0.6891671813964743,1.6096870640234877,4.483071574115852,-0.4657987969490568,0.7156846076503611,1.6483639234519771
2019-07-01 00:00:00+00:00,0.8160032582868975,2.9860795485970346,-0.5535612833457362,2.6020756848749578,-0.5281203372031518,0.8675077423490107,1.3622537234216994,2.2865339580625155,-0.522698631958944,0.7478089566935476,1.5313720633310444,2.3599970266037773,-0.5245983700023802,0.7758953283223436,1.514353819975187
2019-10-01 00:00:00+00:00,0.803877547563403,3.3296328047260504,-0.5486083336065305,2.779654842640303,-0.5235542016714627,0.8007819707464269,1.3230198373318431,2.4148839401238575,-0.5161530243657527,0.6975480701733566,1.580444556750472,2.5125455006964987,-0.5188529507569762,0.7277652576622218,1.545877191737372
2020-01-01 00:00:00+00:00,0.8091928409967412,2.9228557740751775,-0.5486083336065304,2.298339004567825,-0.5144610619223347,0.7566946424950503,1.4522160264151944,1.9101297650698437,-0.5011183188557224,0.6300969686350962,1.7987552523172752,2.0077086959723136,-0.5058376201495238,0.6563323422231246,1.7386356589883238
2020-04-01 00:00:00+00:00,0.713338987457718,2.324197263697808,-0.5268431959742186,1.617455067866896,-0.49054493719861536,0.6648495825125978,1.6910074106797848,1.522230634566378,-0.4800037789589232,0.6197321407294977,1.7443121330336422,1.6069813732732106,-0.48690612435777547,0.6540797695503436,1.6820439076764213
2020-07-01 00:00:00+00:00,0.7298943374358252,0.7712309405806133,-0.6830968369988213,0.6430485731997768,-0.6038831588647864,0.799040934166962,1.4287974266847308,0.626103431794487,-0.5940668831559155,0.695038316543013,1.4948292836861625,0.6562868324576204,-0.6007114315636964,0.7321233595781048,1.4408361382392405
2020-10-01 00:00:00+00:00,0.7405135284953716,0.6375126938916635,-0.6489857095166909,0.6173122580070537,-0.5365125792477827,0.8001073667531885,1.2776774939886193,0.6119608182005013,-0.5243405432990762,0.7132917972912208,1.3241008246979118,0.633547859712123,-0.5343977428742945,0.7457621213776097,1.2623704772776576
2021-01-01 00:00:00+00:00,0.7319014349801777,0.5033599183500649,-0.5732533245640786,0.5948493060961404,-0.5040908425801295,0.8326403149673713,1.1519436608429647,0.5972314702894428,-0.4670968535844622,0.9223963910492854,1.0814211267307403,0.6061246084029436,-0.4694836712320566,0.9394021510497947,1.0605376233720718
2021-04-01 00:00:00+00:00,0.6847646933254024,0.9372026689663059,-0.5436311825757534,0.9348215677328202,-0.47325793151511064,0.6336557094423994,1.218518270279669,0.9848749178465876,-0.4288773149759142,0.8260997715964092,1.0376022118620452,0.9925318432812194,-0.4292396679821139,0.8339906037101241,1.0311164736333316
2021-07-01 00:00:00+00:00,0.6137287577683919,1.0602079461418765,-0.5224529254433283,1.0479891042001752,-0.42962610958088376,0.7518601551033149,1.151346092698278,1.0866189219101499,-0.3659644220949091,0.7323588313267655,1.0451599721356108,1.092591154383712,-0.3657031597353806,0.7377690737511754,1.0393992891046557
2021-10-01 00:00:00+00:00,0.5773523186110288,0.9736716515380998,-0.4737776121883034,1.0071327819734945,-0.3670920995604816,0.765582174856504,1.1033964995481047,1.0491380256897158,-0.3081943819143882,0.6602602702262309,1.000039472756975,1.0542547253872177,-0.3078400988038794,0.6653092491755515,0.9937366875686994
2022-01-01 00:00:00+00:00,0.5518783050615969,1.5899054364540168,-0.4423628858980967,1.4969859913843462,-0.3492334867001835,0.7246015651153583,1.0228945205482751,1.4315385015702091,-0.2681437640689398,0.5564961904733033,0.9231302248140938,1.4315385015702091,-0.2681437640689398,0.5564961904733033,0.9231302248140938
2022-04-01 00:00:00+00:00,0.5434390244313985,2.65851244703788,-0.4423628858980967,2.2854692231764955,-0.31032905000861133,0.7538635761689858,1.0931563158501658,2.0353943256867257,-0.288181527787702,0.6120560977148513,1.1458825855217103,2.0379642112771164,-0.288181527787702,0.6203873149041218,1.1458825855217103
2022-07-01 00:00:00+00:00,0.4990864831305953,2.2505893736659455,-0.27023527124065205,1.9282608967394292,-0.1704311557313739,0.7643752333906205,1.1479672554339464,1.7079588070572318,-0.13893716936026057,0.5541806413177406,1.1139679556907753,1.7009031791416882,-0.14571933372645096,0.6424643035090599,1.3261485933635107
2022-10-01 00:00:00+00:00,0.4893163569793274,2.0211717212969798,-0.27501899452707557,1.6338099226654486,-0.2396498573915129,0.7573224326742402,1.3840262670210972,1.4901924017071482,-0.20601049703570684,0.6113596098785709,1.4570550638184736,1.4756275928228106,-0.2279761291481519,0.6424832909163841,1.5158901382602514
2023-01-01 00:00:00+00:00,0.4831378494423697,2.5263569547961247,-0.267294274182279,2.012878450041448,-0.2275942829656622,0.7153052108321484,1.2716685326378616,1.9595754789125555,-0.20598278934333325,0.6874601679290656,1.1846998277198282,1.9267012575107552,-0.23177322315024773,0.6914915308781748,1.277442980140236
2023-04-01 00:00:00+00:00,0.47707376130804824,1.8348836336170407,-0.260725926209186,1.4567498290277754,-0.2055445436070128,0.7255327184134446,1.4016396042118229,1.3908300789965191,-0.21903575144323928,0.676305448890931,1.44860634443091,1.4048196834080915,-0.2250854959587666,0.6851203821417043,1.4281269324743626
2023-07-01 00:00:00+00:00,0.4779285955962322,2.052478943334588,-0.2533814751260929,1.7160280365350573,-0.1945706600597059,0.7233062118738958,1.2125690220006058,1.6329406638362673,-0.21142549997517357,0.6418773783200198,1.2567264354711292,1.661512458894624,-0.2175495167504954,0.710433232738347,1.2623103232593547
