strategy,moic,mdd,btc,avg_cost,expo,btc_ratio,cost_ratio,paused
dca,1.2262950531519623,-0.45627211690526215,0.5825677940505335,60078.84465539818,1.0,,,
base,1.1369342344564481,-0.3855582587690002,0.48651199128324296,72287.85814699614,0.7040894649899195,0.835116524208411,1.2032165159238122,0.0
wait,1.122111519455919,-0.3614780651763655,0.46262696577923806,73354.9868741193,0.6584808447384171,0.7941169602985444,1.2209786538817577,0.13047217010631645
hybrid,1.077181676690576,-0.40452406313831346,0.45701852776308205,75419.80648656019,0.7079325023252049,0.784489860974771,1.2553471512169567,0.14188555347091933
