band,final_btc,time_in_band,expo_mean,expo_std,n_calls,n_puts,ex_calls,ex_puts,prem_call,prem_put,final,invested,moic,irr_ann,max_dd,variant,btc_ratio,calmar
"[60%,80%]",0.395926416951507,1.0,0.7061913996399729,0.019447763628404516,0,0,0,0,0.0,0.0,41858.00318707241,35000.0,1.195942948202069,0.12311926767045978,-0.313524300648813,flow_mid,0.6796190265816241,0.3926944974143136
"[60%,80%]",0.3378641172677801,0.7118120700437773,0.6126159429872122,0.02134020641350153,0,321,0,29,0.0,71.76169530155514,41406.45919834239,35000.0,1.1830416913812112,0.11543426072068974,-0.26024968637392676,wheel_floor,0.5799534273625194,0.44355196860769236
"[50%,70%]",0.38136475013613114,0.3308317698561601,0.720619559528538,0.06417841323957361,714,0,65,0,244.7149238180144,0.0,42344.04524280921,35000.0,1.2098298640802632,0.13133149228173657,-0.3059156180324233,dca_band,0.6546235087208299,0.4293062679389486
"[60%,80%]",0.44204709723658253,0.3492808005003127,0.8116710773034899,0.045200608223284484,696,0,62,0,175.66471715471118,0.0,42629.43062417437,35000.0,1.2179837321192677,0.13612490930171273,-0.35719461643655903,dca_band,0.7587864943196114,0.3810945155325143
"[70%,90%]",0.5089304056737454,0.37320200125078173,0.9046591995793791,0.024078696386657016,673,0,59,0,94.302188174483,0.0,42825.460992278764,35000.0,1.2235845997793933,0.1394054333246948,-0.4072681175980224,dca_band,0.8735936075317376,0.34229400068651905
