start,dca_moic,dca_mdd,b50_moic,b50_mdd,b50_btc_ratio,b50_inband,b60_moic,b60_mdd,b60_btc_ratio,b60_inband,b70_moic,b70_mdd,b70_btc_ratio,b70_inband
2021-06-01 00:00:00+00:00,0.9355092568525938,-0.5330175998781941,0.9833887409109867,-0.3647214398816979,0.7386274246492522,0.3607605778564495,0.9682526971740607,-0.42251700048208884,0.8288832892137125,0.4280248957916976,0.9523666897209787,-0.47857351121966196,0.9161670681321473,0.48124250556729287
2021-09-01 00:00:00+00:00,0.9180783058902416,-0.49207908888876783,0.9652580085264661,-0.3344313421448357,0.728967095906637,0.23166067248958155,0.9496037034822626,-0.3846920666517877,0.8203223263275907,0.264200490951647,0.9338650264942558,-0.4380739528837606,0.9106506052836241,0.29708283381857625
2021-12-01 00:00:00+00:00,1.404414466659857,-0.45058137128688125,1.3102300913202116,-0.3244222182854657,0.6687748357556403,0.145042525258291,1.3423640746043446,-0.3635107690293512,0.7765712245339635,0.17118556995262288,1.3736461142072467,-0.4028198983408694,0.8869666494080952,0.20200924710314516
2022-03-01 00:00:00+00:00,2.2973316056238895,-0.4423628858980967,1.868338590268116,-0.3336206484199714,0.5879335200232001,0.11206749130707405,2.0049332687546806,-0.37041918300769516,0.7131649593828434,0.12483611696973151,2.147906386926436,-0.40663997662426443,0.8503440158580934,0.13629367839024112
2022-06-01 00:00:00+00:00,2.4683318325257217,-0.4423628858980967,1.9674652875249907,-0.3737961273759388,0.5617046068401886,0.11548765889528587,2.1251156296887777,-0.3967899499535713,0.691298696258752,0.13418457504417716,2.2919736160501887,-0.4196449447638805,0.8368693344361268,0.14330502194607536
2022-09-01 00:00:00+00:00,1.9630509202681785,-0.276990370569253,1.6653621114325978,-0.20540100673049555,0.5829911654970233,0.13908681525394745,1.7610177044095672,-0.2273625785707023,0.7073569934160994,0.14877729008721427,1.8602626820341477,-0.24896238051196107,0.8460086623950972,0.16496608333808357
2022-12-01 00:00:00+00:00,2.7949871902302554,-0.2700922907934251,2.143835409624232,-0.18385821048192008,0.5475179730574694,0.14946132360485664,2.3442600247813075,-0.21260684935004326,0.6796506903574246,0.16012084592145015,2.560881475379822,-0.24099695496612827,0.8298415341269285,0.1718064185145072
2023-03-01 00:00:00+00:00,1.9849991617472187,-0.2630823558884059,1.6791863522930872,-0.17772090567940635,0.5648543291818353,0.17374451348116057,1.7773590239642256,-0.2065982014218457,0.6931063230095527,0.20064983184176025,1.8793132693265566,-0.23503148082404524,0.8375374722025655,0.2134184575044177
2023-06-01 00:00:00+00:00,2.121929459929234,-0.2567773071262688,1.7562138809772496,-0.1720344256338462,0.5905655587386301,0.20109439124487005,1.8709535087285818,-0.2002260446901718,0.7135791883917837,0.22965116279069767,1.9927116070915478,-0.22777807674760864,0.8496590666789637,0.2660738714090287
2023-09-01 00:00:00+00:00,1.8525303803961177,-0.24992021899049366,1.597898700240061,-0.17232114128188825,0.6057594182971888,0.16689466484268126,1.6787937913630882,-0.19489516273746443,0.7257511342197203,0.18348153214774282,1.7636205311375042,-0.22269537498208924,0.8568817797877679,0.20502735978112174
2023-12-01 00:00:00+00:00,1.255389834145772,-0.329280901921448,1.2189795671511112,-0.23161280465129785,0.6490788985494501,0.14631782945736435,1.2323335821253376,-0.2648573495409511,0.7594519070767252,0.18256953944368445,1.2444473915178846,-0.29740670751934617,0.8763442031242911,0.19790241678066575
2024-03-01 00:00:00+00:00,0.8232343863604555,-0.41274077593596314,0.90978527827521,-0.264698702115832,0.711142114477391,0.19429223744292237,0.8832726863667296,-0.3151519993818992,0.8036974552326372,0.2175799086757991,0.8544006373194629,-0.3644485180867195,0.8999750354106,0.24006849315068493
2024-06-01 00:00:00+00:00,0.8927383364977125,-0.39251333483418194,0.9536920946045784,-0.24285360376781118,0.7634178816891924,0.2170662100456621,0.9342277508561121,-0.294541794283125,0.8413088817380622,0.24691780821917808,0.9141089313425855,-0.3440957787339366,0.9194627588664801,0.2916095890410959
