frac,final_btc,expo_mean,expo_std,jump_p95,jump_max,bear_time,n_calls,n_puts,ex_calls,ex_puts,prem_call,prem_put,final,invested,moic,irr_ann,max_dd,btc_ratio,window
0.1,0.44474824376580124,0.4230813604933394,0.216628508290721,0.03547651330288925,0.34141545290746145,0.31050656660412757,735,306,68,24,748.2271214213167,650.5243327333146,42242.96262633259,35000.0,1.2069417893237884,0.1296286490021803,-0.20019665906230977,0.7634230896470376,主視窗 2023-07-01~
0.25,0.46618843830806794,0.35901464605465255,0.2930191052833732,0.04262542485613411,0.30565458272372603,0.31050656660412757,735,208,68,16,1087.972996185894,1046.1886889160482,41784.75539069877,35000.0,1.1938501540199649,0.12187630437310881,-0.26476285010935907,0.8002257972226744,主視窗 2023-07-01~
0.1,0.37381714024651225,0.6831610236383638,0.1188949749738065,0.048592990754623165,0.538761762649447,0.952020202020202,19,350,0,46,16.48158474905598,315.2901875444487,9489.21340882595,13000.0,0.7299394929866115,-0.4323701334185973,-0.3399451839680483,0.7964028988135942,熊市壓力測試 2021-12~2022-12
0.25,0.43142678869789125,0.7869140283059337,0.09507127174873337,0.0785640091367825,0.5305432802422276,0.952020202020202,19,199,0,28,49.04303442776982,339.1507674096331,9000.777075174588,13000.0,0.6923674673211222,-0.4868407837171129,-0.36883319182464813,0.9191380173692992,熊市壓力測試 2021-12~2022-12
