start,dca_moic,dca_irr,dca_mdd,exp10_moic,exp10_irr,exp10_mdd,exp10_btc,exp13_moic,exp13_irr,exp13_mdd,w10_moic,w10_irr,w10_mdd,w10_btc,w25_moic,w25_irr,w25_mdd,w25_btc
2021-06-01 00:00:00+00:00,0.9355092568525938,-0.06261901043900231,-0.5330175998781941,0.9413527836967026,-0.05688554037698468,-0.5358924552945066,0.7419181521630306,0.9833887409109867,-0.0159929901034237,-0.3647214398816979,0.9979289671874162,-0.001988905731915791,-0.4314556108680586,0.31567810667739105,0.9839185625182916,-0.01548145440446258,-0.44380750990207274,0.08406697221044389
2021-09-01 00:00:00+00:00,0.9180783058902416,-0.07979421182118518,-0.49207908888876783,0.8976799649936399,-0.10003340828907847,-0.49477042090367185,0.9752490868070991,0.9652580085264661,-0.03355560659554391,-0.3344313421448357,1.0066816204098945,0.006406943989755831,-0.37143437568301596,0.28113283389239097,1.0022094070146967,0.002120219077600405,-0.4101975240784572,0.10711635801219647
2021-12-01 00:00:00+00:00,1.404414466659857,0.3643380468939095,-0.45058137128688125,1.219075375360215,0.2028875078080432,-0.4516177218401076,0.3668238267542615,1.3102300913202116,0.2833508562797722,-0.3244222182854657,1.1606795410132693,0.1501823111720222,-0.3399451839680483,0.19174392243221366,1.1229970195872734,0.11566254520076735,-0.36883319182464813,0.06802704376164365
2022-03-01 00:00:00+00:00,2.2973316056238895,1.0495070655569467,-0.4423628858980967,1.8244368240577509,0.7029682608093832,-0.4423628858980967,0.16288300601907785,1.868338590268116,0.7365236910373436,-0.3336206484199714,1.3054399798918743,0.2791750410532514,-0.2965599191208875,0.06027388755037169,1.2042172937960496,0.18956600803679868,-0.35855006925798094,0.006666003977778188
2022-06-01 00:00:00+00:00,2.4683318325257217,1.1676510969637879,-0.4423628858980967,2.0151959863547795,0.8465883368045772,-0.4423628858980967,0.2672276183317492,1.9674652875249907,0.8111728860299077,-0.3737961273759388,1.3404670744675047,0.3095806754608432,-0.13561999903249056,0.03772132491794855,1.256273608758656,0.23598123574895347,-0.2709062082007275,0.008526046216545477
2022-09-01 00:00:00+00:00,1.9630509202681785,0.8078804785694123,-0.276990370569253,1.7101716127157565,0.6141222873951757,-0.27023527124065216,0.6390790782994397,1.6653621114325978,0.5786561741922098,-0.20540100673049555,1.2694309586710122,0.24760042193759135,-0.07604192000250376,0.0767899750925676,1.2221161725421426,0.2056065174493107,-0.12198922762136766,0.03951296312501289
2022-12-01 00:00:00+00:00,2.7949871902302554,1.3845285471320037,-0.2700922907934251,2.171786054632186,0.96051222739781,-0.2462997256387791,0.1563800794105482,2.143835409624232,0.9404225122397254,-0.18385821048192008,1.4084306375580196,0.3677455364491371,-0.08309963166887258,0.09693773164718354,1.3301448245617336,0.30065133455824666,-0.07148094975192876,0.023702625726660702
2023-03-01 00:00:00+00:00,1.9849991617472187,0.8242217036884447,-0.2630823558884059,1.8142576909724504,0.6951431771985828,-0.2365383774034856,0.6462157089048852,1.6791863522930872,0.5896367616504399,-0.17772090567940635,1.3571080158187145,0.3239223364919832,-0.1763859481815938,0.08237689876478595,1.2849103114817186,0.26121353245524337,-0.17411469275113522,0.021889038207712527
2023-06-01 00:00:00+00:00,2.121929459929234,0.9246046015722573,-0.2567773071262688,2.059896276142144,0.879456126152498,-0.2365383774034855,0.5460590908795738,1.7562138809772496,0.6501914307499994,-0.1720344256338462,1.5044851248579518,0.4481828324709387,-0.12350810304038495,0.3683422086870386,1.5175262871128616,0.45895169405272673,-0.09821764863344118,0.34340709958708193
2023-09-01 00:00:00+00:00,1.8525303803961177,0.724476884230697,-0.24992021899049366,1.8998571173021412,0.7604242419572256,-0.2365383774034855,0.7526648981565415,1.597898700240061,0.5245579676015042,-0.17232114128188825,1.4362997578481436,0.39129107479788305,-0.06526161741130487,0.2975930276643862,1.4711662600258475,0.42050730455579743,-0.09693614843347753,0.1460562429605998
2023-12-01 00:00:00+00:00,1.255389834145772,0.23519917957407022,-0.329280901921448,1.369982342568819,0.33497285555241096,-0.2980632546190415,1.0902111817343705,1.2189795671511112,0.2028017981391257,-0.23161280465129785,1.298473305964165,0.27309165098904264,-0.12119935161786877,0.4641727532805352,1.3673902571626322,0.33275110002177133,-0.09683565533273109,0.550170324986831
2024-03-01 00:00:00+00:00,0.8232343863604555,-0.17523323419657666,-0.41274077593596314,0.9022786745728132,-0.09545722465771156,-0.3933972960038077,1.0960167475046991,0.90978527827521,-0.08800413924261308,-0.264698702115832,1.0174634188818594,0.01671444027303326,-0.19411930209729988,0.8487939203010011,1.0151737346200786,0.014528673376481338,-0.25464967086403034,1.0017004957649351
2024-06-01 00:00:00+00:00,0.8927383364977125,-0.1049595735638792,-0.39251333483418194,0.9579279024481354,-0.040688112329650084,-0.37348644497875183,1.0728232806661113,0.9536920946045784,-0.044818244286330855,-0.24285360376781118,1.0588283572409252,0.05591085099771731,-0.1933907404409574,0.8868773947665852,1.0580389906614427,0.05516795599097035,-0.24852559280833753,0.9130632208361609
