size,paper_irr,xirr,bh_xirr,paper_reported
0.005,19.46700246392679,28.395292332348255,28.88850694503762,27.9
0.01,20.15548527062724,29.357398615577562,29.90856040957351,29.0
0.02,20.77755321286222,29.673589611885532,30.730084655369122,30.5
0.05,24.464686406722468,33.34559987758411,37.353018668315904,33.6
0.1,20.430745062033807,26.22453796239052,34.326373721093084,35.9
