ratio,spacing,resets_up,resets_dn,final_btc,bucket_btc,bucket_avg_cost,final_pool,interest,avg_exposure,final,invested,moic,irr_ann,max_dd,btc_vs_dca,cost_vs_dca
0.25,0.01,99,70,5.28862906826842,5.259276408324148,19731.634362861492,9480.222447661848,2721.585339225349,0.8607068221815621,399984.6812889544,101000.0,3.9602443691975684,0.3150530768293953,-0.7349741636121723,0.8175869821252337,1.2637199022684538
0.25,0.02,99,70,5.3621161391215715,5.3324400871418725,19689.576240214566,9554.35081977817,2746.1404637831756,0.8611084201638735,405470.3913018055,101000.0,4.014558329720846,0.3181748662069288,-0.7351005040800302,0.8289475959456549,1.2610262740740756
0.25,0.03,99,70,5.394021655913536,5.365714628600022,19619.181349252674,9558.44123466035,2748.3388031190375,0.8615711804449537,407939.15280205844,101000.0,4.039001512891668,0.3195665015596647,-0.7353251545088633,0.8338799772585364,1.2565178069552039
0.25,0.05,99,70,5.415427494384341,5.388604301113258,19477.520568495052,9506.123095257353,2741.490872073278,0.8622679222613148,409536.64469954895,101000.0,4.05481826435197,0.32046268094141617,-0.7356861245684134,0.8371891779321498,1.2474450892713995
0.5,0.01,99,70,5.559704004073248,5.53170100827527,19818.56887463317,3014.770834736331,1166.585462602642,0.9166587862626486,413450.60155984864,101000.0,4.093570312473749,0.32264420803174776,-0.7421029862255565,0.859493369552595,1.2692876555877957
0.5,0.02,99,70,5.641989767326773,5.613775848816767,19776.15744551421,3027.869920496178,1175.2256606045337,0.9170557115070992,419520.79090563144,101000.0,4.15367119708546,0.32598849208519076,-0.7422555917936271,0.8722142028691104,1.2665713997482817
0.5,0.03,99,70,5.674617530908081,5.6477514929057335,19710.265611349685,3023.9540004140426,1175.2601316512123,0.9174559133141649,422027.53557044,101000.0,4.178490451192475,0.32735596611746964,-0.7424773238345058,0.8772582387460056,1.2623513325861104
0.5,0.05,99,70,5.6923221687497865,5.6669062830301336,19577.329991780374,3002.458056655999,1172.979346332101,0.9178651009548594,423377.82086052024,101000.0,4.191859612480398,0.32808933313761734,-0.7426935281862362,0.8799952583470722,1.2538374211137633
0.75,0.01,100,71,5.58763329693749,5.559209760287475,20034.317793707112,1020.0152623041125,597.9261845154515,0.9393832577047532,413525.9547108608,101000.0,4.094316383275849,0.32268601205730274,-0.7439458798383547,0.863811053014794,1.2831053757985358
0.75,0.02,100,71,5.674385123989152,5.64583997991042,19991.7387620619,1021.1388290684578,600.8658864820718,0.9396994817533043,419910.4270635959,101000.0,4.157528980827682,0.3262015612443432,-0.7441097043277223,0.8772223101775584,1.280378385792546
0.75,0.03,100,71,5.707245445379483,5.680089723078345,19925.753956597466,1018.8533081491556,600.6250668483559,0.9400095463568778,422436.29999110237,101000.0,4.182537623674281,0.3275782124187512,-0.7443630077787666,0.8823022979495089,1.2761523642487012
0.75,0.05,100,71,5.727038124912359,5.701309448278554,19791.82283095199,1013.1363418185957,600.0990044421047,0.9402711974964644,423958.4460162684,101000.0,4.197608376398697,0.3284039902357865,-0.7445522219898058,0.8853621149490691,1.2675746952173934
1.0,0.01,86,64,5.6369067460553435,5.608483004366405,19936.347702962135,0.0,277.3747543922727,0.9579032531828643,416136.1368183729,101000.0,4.120159770478939,0.3241295616143225,-0.7454487131660041,0.8714284014888772,1.2768308446966166
1.0,0.02,86,64,5.7251022287375894,5.696663369972681,19893.302743117452,0.0,277.37626547687495,0.9581441050475062,422622.7405264983,101000.0,4.18438356956929,0.3276795118834219,-0.7456167476894853,0.8850628382384497,1.2740740141448375
1.0,0.03,86,64,5.767224275384132,5.740191631037968,19804.949875182727,0.0,277.3752343101967,0.9584204831241725,425832.09175453393,101000.0,4.216159324302316,0.3294165500556143,-0.7459475778455154,0.8915746273153797,1.2684154216745775
1.0,0.05,85,61,5.791154370001262,5.772822187779941,19608.327478764226,1004.2555926497133,266.41639917888335,0.9591820201904097,428378.5296671507,101000.0,4.241371580862878,0.33078584998966787,-0.7460549412455413,0.8952740612494743,1.2558226667604964
