window,moic,mdd,btc,btc_vs_dca,avg_expo,dca_moic,dca_mdd,dca_btc
全期間 18/01-26/05,4.241371580862878,-0.7460549412455413,5.791154370001262,0.8952740612494743,0.9591820201904097,4.718503861278017,-0.7538288801609292,6.468582773322992
19/01-20/12 回升牛,3.093349353729803,-0.5560370500849483,2.427519467260454,0.7428835864506538,0.7890892763856806,3.9380707471891347,-0.5844686649165715,3.2676983467337686
21/01-22/12 頂部進場,0.566053624940951,-0.5363885216321861,0.6585143370272615,0.9017245225300763,0.89780763656838,0.5033599183500649,-0.5732533245640786,0.7302832745189064
22/01-22/12 純熊市,0.6678520705576168,-0.43343031415656286,0.4537407223836552,1.0042116646497696,0.840112459226669,0.6228733767146232,-0.4423628858980967,0.45183773337456945
23/01-24/12 復甦牛,2.3058916988075673,-0.2562385440472744,0.5665123393909792,0.874314932849099,0.7547803187919115,2.5263569547961247,-0.267294274182279,0.647949975582489
24/06-26/05 近兩年,0.9404390390748187,-0.33568606209122265,0.2830260674886103,0.9732177877513356,0.8206816486384616,0.892733240988346,-0.39251333483418194,0.2908147292935891
