month,low,high,range_ratio,vol_ann,n_grids,fills,grid_profit,fees,avg_exposure,start_value,end_value,grid_ret,btc_ret
2018-01,9035.0,17176.24,1.9010780298837855,1.3555747877664448,9,61,2468.0720388922346,76.5317707123482,0.3817143447288282,10000.0,10937.461163858065,0.09374611638580643,-0.25011938916493204
2018-02,6000.01,11786.01,1.9643317261137898,1.342250257268376,10,47,1787.7077428742716,54.24498379161625,0.3055209672951366,10937.461163858065,12654.636291957224,0.1569994263178207,0.004050519683814535
2018-03,6600.1,11710.0,1.7742155421887547,0.8935984014219417,13,54,1004.4075447103934,62.88892367970248,0.42601966812669195,12654.636291957224,11266.179334784432,-0.10971923057600941,-0.3294449545016096
2018-04,6430.0,9759.82,1.5178569206842922,0.8671107440542821,9,29,2410.211369270206,39.97323487368931,0.49861364681088716,11266.179334784432,13664.286823209914,0.21285898414747417,0.33574255995377067
2018-05,7032.95,10020.0,1.4247222004990794,0.5682453972850746,12,40,562.5963289245003,56.1581635643158,0.4764451679812412,13664.286823209914,12860.231058135087,-0.0588435953868498,-0.19046053378700645
2018-06,5750.0,7786.69,1.3542069565217392,0.7310689650872709,8,21,470.08289862147376,41.63728354232179,0.4643850529305615,12860.231058135087,12681.024253444979,-0.013934959945898107,-0.14628437370157166
2018-07,6070.0,8491.77,1.3989736408566722,0.628851130211227,10,33,2136.294687980512,47.70654048996694,0.5427790730389913,12681.024253444979,14710.996734176235,0.1600795361762506,0.20964375348141484
2018-08,5880.0,7750.0,1.3180272108843538,0.5437547497979741,10,46,801.4727582686778,74.20472959959757,0.5149511142716815,14710.996734176235,15323.315425128458,0.04162319535628067,-0.093651875015351
2018-09,6111.0,7410.0,1.212567501227295,0.4831666789277465,8,27,546.7743315325495,61.48720311717726,0.6071922538552275,15323.315425128458,15486.416269524992,0.01064396573923343,-0.054860715910663105
2018-10,6205.0,7680.0,1.2377115229653506,0.34145015998345496,12,47,1111.6246048808464,74.9020348456016,0.714070075359249,15486.416269524992,15499.962616894853,0.0008747244768640972,-0.03842711991271497
2018-11,3652.66,6615.15,1.8110500292937202,0.9134393998829504,13,33,585.6311597375902,50.58429701079104,0.30149535897459284,15499.962616894853,13598.494102536475,-0.12267568389395922,-0.3655220487572062
2018-12,3156.26,4312.99,1.3664875517226083,0.8501305043357961,7,29,1141.1335968752824,62.9727659605525,0.48292772668732764,13598.494102536475,14374.82510062463,0.057089483014398645,-0.08372862986140495
2019-01,3349.92,4069.8,1.2148946840521564,0.5078057382912118,7,30,899.3973157245964,73.99229448951706,0.5647016128665624,14374.82510062463,14402.419185555664,0.001919611872692295,-0.07217330455010906
2019-02,3373.1,4198.0,1.2445524888085144,0.5491952554164373,8,25,1767.543701139735,51.97510952097832,0.57529060557441,14402.419185555664,15942.290681142893,0.10691755848431228,0.110535511487726
2019-03,3670.69,4140.0,1.12785334637357,0.23920249765541296,10,51,796.5932184998146,83.74084515078081,0.42213505788951605,15942.290681142893,16740.93340060085,0.050095857328873006,0.07594920115566306
2019-04,4067.0,5600.0,1.3769363166953528,0.6669668831269318,9,36,3650.7679013485413,74.37495485818144,0.2766594295381392,16740.93340060085,20392.914249677335,0.21814678797691234,0.29698667134680856
2019-05,5316.2,9074.26,1.7069071893457735,0.8298208334823793,13,52,7795.207198909857,92.55751070443723,0.4481929995078647,20392.914249677335,28191.1935358844,0.3824014160374578,0.607496514428949
2019-06,7444.58,13970.0,1.876532994473832,1.0238367556542136,12,40,8143.51277094541,110.49474998501422,0.6532801219942422,28191.1935358844,35259.42299415335,0.25072473250456184,0.26874342489772074
2019-07,9060.0,13147.08,1.451112582781457,1.0137807939683952,7,31,4084.0367125160883,183.60001969692985,0.5247099070512333,35259.42299415335,37432.334360582645,0.06162640173634171,-0.07126984273223935
2019-08,9320.0,12330.7,1.3230364806866954,0.6569328445006712,8,35,4679.726078231542,197.85141167131815,0.4822428867587482,37432.334360582645,38664.39910486709,0.03291445124463954,-0.048912110771953565
2019-09,7710.0,10905.87,1.4145097276264593,0.6101554181928954,11,35,2119.5805093734143,153.4056085761198,0.3160755730731092,38664.39910486709,37336.334451152055,-0.034348513993790575,-0.13551311225458185
2019-10,7300.0,10370.0,1.4205479452054794,0.763669064252044,9,33,4809.624630625407,153.63111604665025,0.6021291091352301,37336.334451152055,41543.154246049715,0.11267361557416766,0.10263969592169819
2019-11,6515.0,9513.68,1.4602732156561782,0.5242160152833474,14,39,1168.3781857651188,141.21291805086932,0.3396331227038849,41543.154246049715,40252.40451397675,-0.031070094591955644,-0.17492555405071297
2019-12,6435.0,7750.0,1.2043512043512044,0.48766393065248204,7,35,2292.6794270412092,220.52620055597723,0.334436399844436,40252.40451397675,42154.282320062295,0.047248799892815496,-0.045805191343428975
2020-01,6871.04,9578.0,1.3939665611028316,0.5735491989203066,11,37,7226.531836742713,152.94749428189456,0.4290802248114537,42154.282320062295,49397.75667146712,0.17183246761047255,0.2998718597294878
2020-02,8445.0,10500.0,1.2433392539964476,0.5237850713625825,8,37,3617.2277280535636,271.32112881109293,0.3873821274584866,49397.75667146712,48895.746491526384,-0.01016261089100634,-0.08855065009500918
2020-03,3782.13,9188.0,2.429318928751788,2.100311705959343,9,28,6613.6015609422975,178.30566359155733,0.2742300314840053,48895.746491526384,53258.487110049915,0.08922536072293297,-0.24791960214040776
2020-04,6150.11,9460.0,1.5381838698820023,0.7214849154804335,12,46,13352.225793446907,226.1492156958974,0.6419040705806451,53258.487110049915,66254.12212427174,0.2440105928538392,0.3443249835468345
2020-05,8117.0,10067.0,1.2402365405938154,0.7005712224122036,6,43,11122.382213518991,496.91842060375154,0.38899413987383047,66254.12212427174,77054.99384388253,0.16302188261360961,0.09608700696055683
2020-06,8833.0,10380.0,1.1751386844786595,0.4255587432188959,7,38,5430.51455028999,486.931107477097,0.5507411434253182,77054.99384388253,79395.66746117864,0.03037666347801471,-0.03278060427993712
2020-07,8893.03,11444.0,1.2868504885286567,0.43100119248619784,11,34,10465.893441201439,256.0039853659523,0.7319859170094057,79395.66746117864,89861.56090238006,0.13181945282239527,0.2404640799817903
2020-08,10518.5,12468.0,1.1853401150354137,0.4394475225139531,7,41,7386.244072701873,571.7145739814569,0.4095174012011568,89861.56090238006,96442.74525773068,0.073236924545524,0.02770509533799248
2020-09,9825.0,12050.85,1.2265496183206108,0.5757453632766121,7,20,3035.868771207932,331.7460876193774,0.5877327464104767,96442.74525773068,97361.5763262824,0.009527218103303259,-0.0749319070072475
2020-10,10374.0,14100.0,1.3591671486408328,0.3493781771433012,17,65,14840.635262992575,393.00176675290135,0.5917014512733795,97361.5763262824,112167.33510561506,0.15206983430213716,0.2797183524658542
2020-11,13195.05,19863.16,1.5053493544927834,0.7148528665932415,11,43,26818.50859973437,476.0157229999238,0.4793531529057988,112167.33510561506,139262.03663028972,0.24155607779361699,0.428168370676528
2020-12,17572.33,29300.0,1.6673941361219597,0.6238791481971243,16,73,32772.226598224384,677.3639120885807,0.6038008541710638,139262.03663028972,172183.70885139986,0.23640091023880383,0.4685124343326801
2021-01,28130.0,41950.0,1.491290437255599,1.0710170030977337,7,66,73335.57196997218,1787.236462289143,0.3954413893487995,172183.70885139986,236656.76470851203,0.3744434144623665,0.14415030201949075
2021-02,32296.16,58352.8,1.8068030378843802,1.018548033438569,11,41,94785.76245569979,1075.310982953023,0.4138825674130845,236656.76470851203,321731.70295101294,0.3594866106924386,0.3639047809852063
2021-03,44950.53,61844.0,1.3758235998552186,0.6404075374245821,10,58,78707.30038256079,2009.7891352400936,0.3681664795810015,321731.70295101294,400086.0264586414,0.24353933040773024,0.301466894993609
2021-04,46930.0,64854.0,1.3819305348391222,0.683194347325534,9,34,24286.250948824127,1712.1050265054776,0.3906650787742262,400086.0264586414,422071.4622792078,0.05495177128571638,-0.017793660343489726
