start,dca_moic,dca_mdd,grid_moic,grid_mdd,grid_eth,cc_moic,cc_mdd,cc_eth,put_moic,put_mdd,put_eth
2021-06-01 00:00:00+00:00,0.9326604121525729,-0.6818673610974817,0.9602265960899992,-0.6241034007609549,0.7844996814695352,0.9956629834032369,-0.6852330206112912,1.0532427212430673,0.9489945759033134,-0.6812757150307303,1.017512772175953
2021-09-01 00:00:00+00:00,0.845643011887788,-0.6497896916036482,0.9308134709564257,-0.5707331650939576,0.7746439147032125,0.8737490188379968,-0.652200357071002,1.0313497381016288,0.8623210960139527,-0.6481214484415289,1.0196573458551272
2021-12-01 00:00:00+00:00,1.1311521696775642,-0.6099994609832646,1.1497715528545487,-0.5084322193436527,0.7131537781468152,1.1397252629273542,-0.6118988362603215,0.9891250869950635,1.1548031223319246,-0.6090043009242021,1.020907724648988
2022-03-01 00:00:00+00:00,1.9112296788615228,-0.5395875763747455,1.6510907632335374,-0.43884421302141674,0.5742722239486052,1.9126912458112602,-0.5398734154661756,0.9865931878393522,1.927888449783319,-0.534808164548469,0.984079258697997
2022-06-01 00:00:00+00:00,2.135847348593672,-0.5395875763747454,1.7650581456682124,-0.39900613643015403,0.7069311789668514,2.126406654809999,-0.5395875763747454,0.9689668957799205,2.153099928576497,-0.5268687622981794,1.0080768784518181
2022-09-01 00:00:00+00:00,1.3033487627464289,-0.3961173914834071,1.1270412722891119,-0.3435665156373725,0.8506590636393495,1.3403738242689198,-0.3778611635199627,1.0268894757122136,1.3111101575511646,-0.3943777970874328,1.0059543351200542
2022-12-01 00:00:00+00:00,1.789388364141463,-0.3901030692600036,1.4546373286536582,-0.31985888578021426,0.7470153842576943,1.7825528481899306,-0.3717080302681385,0.9753715659077101,1.7904590808609158,-0.387583535777163,1.0005973347250705
2023-03-01 00:00:00+00:00,0.9537847093857992,-0.4523947090329279,0.8435142114795532,-0.4138137794649207,0.8666290772055129,0.9758839026275433,-0.43328348497515223,1.021823643239756,0.9609306936011922,-0.4526552541333162,1.0074906635647396
2023-06-01 00:00:00+00:00,1.0614430415599232,-0.5828628120242997,0.9592816938718083,-0.5225777858970928,0.8083953378519406,1.0904706810207012,-0.5693418153701384,1.001855026418493,1.0513329141042924,-0.5852024487560195,0.9904727219147165
2023-09-01 00:00:00+00:00,1.7486732461787846,-0.5653265169904826,1.5565419884584595,-0.4888560929481707,0.8034774021467033,1.7105351400589812,-0.5515520108192316,0.9457219569170342,1.7218786847386975,-0.567404632871021,0.9846761565024982
2023-12-01 00:00:00+00:00,1.0629734434828866,-0.531789721323097,1.0343497344540453,-0.4497189519080609,0.9389553226450071,1.067003762569657,-0.5175235498099129,0.9997317877780026,1.0405194900422297,-0.5337452155019347,0.9788744822972941
2024-03-01 00:00:00+00:00,0.6748097275210483,-0.5434890622802544,0.7195559622358036,-0.4837259172339039,1.0111449168513802,0.674870362099086,-0.5388306461013007,1.000089854333103,0.671572819788882,-0.5417077800846379,0.9952011825092898
2024-06-01 00:00:00+00:00,0.7329725772157566,-0.5323292828635333,0.7760608022473758,-0.4609510605160151,0.930991787687164,0.7313552819416435,-0.5272593777321751,0.9977935118933692,0.7306823818280339,-0.5300481490354583,0.9968744190160649
