strategy,moic,irr_ann,max_dd,eth_ratio,avg_cost_ratio,premium,calmar
純現金 5%,1.0788297197764078,0.05126534580488573,0.0,0.0,,,
DCA,0.7937440063917786,-0.1478835709394014,-0.5778152475465488,1.0,,,-0.2559357364959254
屯幣網格基準,0.7649691744037199,-0.17041925698392513,-0.5268749531048265,0.882827184652413,1.2178545849130606,,-0.3234529483317813
買單階梯 D=10% 月底補,0.792503385758782,-0.148844259533101,-0.5706774780687237,0.9984370015735473,1.0015654452148604,,-0.2608202798484654
DCA+CC(exp15-C),0.7977167077110728,-0.14481374813604087,-0.5673088859313642,1.0050050158329427,,12216.46033069772,-0.25526437488864073
抄底寶DCA otm=2%,0.7906577425379631,-0.15027524573938,-0.5802472372067078,0.9961110992141978,,932.873041830141,-0.25898485353036815
EMA雙輪 frac=10%,1.1176904844068107,0.07564585384951172,-0.36674178725242146,1.1342156235178884,,2955.4151377922735,0.20626461581114047
