strategy,moic,irr_ann,max_dd,btc,btc_ratio,avg_cost,cost_ratio,fill_rate,undeployed
DCA,1.2262950531519623,0.14098949179307185,-0.45627211690526215,0.5825677940505335,1.0,60078.84465539818,1.0,1.0,0.0
階梯 D=5% 月底補成交,1.2055561497459895,0.12881072010327577,-0.45259089203014025,0.5727155018332644,0.9830881618965457,61112.36711415157,1.0172027685399327,0.7657142857142857,0.0
階梯 D=5% 滾存等待,1.1950254439831542,0.12257451275017517,-0.4508281877087683,0.5677127498362783,0.9745007458943625,61650.8965319056,1.0261664798237122,0.7657142857142857,0.0
階梯 D=10% 月底補成交,1.196959462072761,0.12372249137569402,-0.4505629358478175,0.5686315308826667,0.9760778688588853,61551.28250744508,1.0245084248955276,0.56,0.0
階梯 D=10% 滾存等待,1.158972685351308,0.10095012194151987,-0.44465096826662465,0.5307141869419724,0.9109912912486487,63190.321316333655,1.0517898884171686,0.56,1464.0
階梯 D=15% 月底補成交,1.1951182060648253,0.1226296012381034,-0.4493486597839984,0.5677568176983737,0.9745763900726805,61646.111343737466,1.0260868313518487,0.4228571428571429,0.0
階梯 D=15% 滾存等待,1.1116342230472256,0.0718828550886157,-0.4362080433145008,0.4998643057194352,0.8580362849170402,65857.87307341245,1.0961907382067977,0.4228571428571429,2080.0
