start,dca_moic,dca_btc_ratio,dca_cost_ratio,eom10_moic,eom10_btc_ratio,eom10_cost_ratio,roll10_moic,roll10_btc_ratio,roll10_cost_ratio
2018-01-01 00:00:00+00:00,1.0983586644358645,1.0,1.0,1.0840666244860098,0.9869878206339864,1.0131837284047287,1.0021665403202453,0.9124219371774839,1.0959841705400388
2018-04-01 00:00:00+00:00,1.0042426964552715,1.0,1.0,0.9860183374397958,0.9818526347467567,1.0184827789945525,0.9147639058986412,0.9108992369349874,1.0978162671041647
2018-07-01 00:00:00+00:00,1.4284186866634085,1.0,1.0,1.392027286397786,0.9745232958617844,1.0261427348595973,1.2898485342597827,0.8801214093115245,1.0990907880425616
2018-10-01 00:00:00+00:00,1.6194675615851715,1.0,1.0,1.5707299558097805,0.9699051670243488,1.0310286345498927,1.4453908053844926,0.892509883908827,1.1204357711092343
2019-01-01 00:00:00+00:00,3.9380707471891347,1.0,1.0,3.738494329193083,0.9493212715544781,1.0533841703162696,3.3897468895260947,0.8607633298476378,1.1617595282282855
2019-04-01 00:00:00+00:00,6.196714957871096,1.0,1.0,5.821254947927088,0.9394098304510364,1.0644981216769602,5.650207237930356,0.8954003224266281,1.0032756420041893
2019-07-01 00:00:00+00:00,2.9860795485970346,1.0,1.0,2.941822021219164,0.9851787178949521,1.0150442572863496,2.9251887463480912,0.9796084460383676,1.020816025059908
2019-10-01 00:00:00+00:00,3.3296328047260504,1.0,1.0,3.2494945667785307,0.9759318091070666,1.0246617547131236,3.224275825789887,0.9683577784353216,1.0326761681160925
2020-01-01 00:00:00+00:00,2.9228557740751775,1.0,1.0,2.784842046335019,0.9527812049556817,1.0495589069124371,2.7602797897644553,0.9443776919296804,1.0588983714308886
2020-04-01 00:00:00+00:00,2.324197263697808,1.0,1.0,2.2031974880489593,0.9479391110475978,1.0549200769813878,2.1668513159232985,0.9323009495656269,1.072615018214789
2020-07-01 00:00:00+00:00,0.7712309405806133,1.0,1.0,0.7412662523308341,0.9611469319070362,1.0404236509561287,0.7333247571443353,0.9508497630972369,1.0516908546547503
2020-10-01 00:00:00+00:00,0.6375126938916635,1.0,1.0,0.6173934653399085,0.9684410542024845,1.0325873688032612,0.6069545592873178,0.9389949905149837,1.0560936710884854
2021-01-01 00:00:00+00:00,0.5033599183500649,1.0,1.0,0.5069681419802214,1.0071682776053839,0.9928827408837511,0.5034137269519142,0.9504406479563958,1.0258399639119087
2021-04-01 00:00:00+00:00,0.9372026689663059,1.0,1.0,0.9451520206120916,1.0084819985143165,0.9915893406854936,0.9438129161263004,1.0070531672378666,0.9929962315125704
2021-07-01 00:00:00+00:00,1.0602079461418765,1.0,1.0,1.067336931881935,1.006724139133272,0.993320772918924,1.067598587422568,0.9991108423059152,0.9925491994240924
2021-10-01 00:00:00+00:00,0.9736716515380998,1.0,1.0,0.9792919089417316,1.0057722307050365,0.9942608967231177,0.9813022720594998,0.9821609477371949,0.9927089875099462
2022-01-01 00:00:00+00:00,1.5899054364540168,1.0,1.0,1.5826570964953428,0.9954410244832925,1.0045798549633556,1.5556522561492216,0.8841106042660393,0.9614181708697445
2022-04-01 00:00:00+00:00,2.65851244703788,1.0,1.0,2.6090953012741567,0.9814117305266772,1.0189403375720274,2.544130180596005,0.9203631338980179,0.9807722989116249
2022-07-01 00:00:00+00:00,2.2505893736659455,1.0,1.0,2.1977424499460234,0.9765186291474216,1.0240460039897852,2.146996888621861,0.9539709525619308,1.0482499465150972
2022-10-01 00:00:00+00:00,2.0211717212969798,1.0,1.0,1.9721094785592752,0.9757258414904887,1.0248780522943113,1.9157403349540925,0.947836502345663,1.0550342780904145
2023-01-01 00:00:00+00:00,2.5263569547961247,1.0,1.0,2.4250283909174453,0.9598914303513945,1.0417844855995044,2.369858422783992,0.9259149827092017,1.0468923728797335
2023-04-01 00:00:00+00:00,1.8348836336170407,1.0,1.0,1.7939473912225694,0.9776900062519088,1.0228190874463565,1.7350611768332185,0.9410557769791909,1.0537809670006362
2023-07-01 00:00:00+00:00,2.052478943334588,1.0,1.0,1.9834304586666922,0.9663584930349077,1.0348126572152732,1.8986873940855074,0.906880953296456,1.0615138218168911
2023-10-01 00:00:00+00:00,1.812676187496258,1.0,1.0,1.721290059990092,0.9495849682714749,1.0530916488919315,1.6635757051201205,0.8681320925610911,1.0483043703428399
2024-01-01 00:00:00+00:00,1.161371458384922,1.0,1.0,1.1459145507245474,0.9866908149423013,1.0134887087790283,1.142732413305376,0.9695999832858723,1.0141639338739674
2024-04-01 00:00:00+00:00,0.8352911211213456,1.0,1.0,0.8498057050408574,1.017376676888444,0.9829201147586859,0.8538191300043136,0.9822752522132765,0.9841097640285243
