asset,hyst,put_frac,put_otm,cap,moic,irr_ann,max_dd,calmar,coin_ratio,expo_mean,expo_final,bear_time,prem
BTC,price,0.1,0.01,0.8,1.203074847530709,0.12734450611755288,-0.2951274371273708,0.4314898924920819,0.786243856471354,0.5129790420626585,0.801423499940105,0.31050656660412757,1998.748323673089
BTC,price,0.1,0.01,0.9,1.1796724575617359,0.11341832615207936,-0.3182547268503406,0.35637593595087236,0.872674028860905,0.5270672881595512,0.9071687195390638,0.31050656660412757,2123.879053211302
BTC,price,0.1,0.02,0.8,1.1560394451561027,0.09917166307720438,-0.27361136952159926,0.3624544668980783,0.765049139739053,0.47156333989096394,0.8115478535762116,0.31050656660412757,1677.5057909872044
BTC,price,0.1,0.02,0.9,1.1608304481661527,0.10207499491654737,-0.27904345084607685,0.36580322744378957,0.8502334456473906,0.48056149544622245,0.8981871738406765,0.31050656660412757,1713.1450876213848
BTC,price,0.1,0.03,0.8,1.2069417893237884,0.1296286490021803,-0.20019665906230977,0.647506554851319,0.7634230896470376,0.4230813604933394,0.7756689759868153,0.31050656660412757,1398.7514541546313
BTC,price,0.1,0.03,0.9,1.2071789118764902,0.12976855891655936,-0.20019665906230977,0.6482054172351089,0.7634230896470376,0.4230760466894921,0.7755166136436464,0.31050656660412757,1407.0076459374006
BTC,price,0.2,0.01,0.8,1.2288714413375892,0.1424930929394641,-0.3170234707797066,0.44947174601617984,0.8386909608832049,0.5465778798686541,0.8369373818869141,0.31050656660412757,2246.643973457357
BTC,price,0.2,0.01,0.9,1.2342998572980117,0.1456544737203178,-0.34839358338736537,0.41807450155696535,0.9207721810445983,0.5760163273079272,0.9148059192200206,0.31050656660412757,2432.27574904103
BTC,price,0.2,0.02,0.8,1.2015165172391673,0.12642267683803676,-0.3067010862290118,0.4122015946941829,0.785496615874936,0.5198289727615928,0.8017002667047731,0.31050656660412757,1868.594964262697
BTC,price,0.2,0.02,0.9,1.1928613997141981,0.12128856609993499,-0.33094128064895834,0.3664957295810741,0.8854017316235787,0.5396681696710405,0.9102230662204969,0.31050656660412757,2021.9441093126854
BTC,price,0.2,0.03,0.8,1.2176472987033378,0.1359275428999407,-0.27052008153609264,0.502467477194684,0.7812336995802117,0.48339743565244997,0.7867865270501113,0.31050656660412757,1715.9580209650792
BTC,price,0.2,0.03,0.9,1.222224456775537,0.13860967219872933,-0.2772119610650998,0.5000133171244315,0.8952844281187002,0.49313735626264465,0.89827128375184,0.31050656660412757,1770.3633760023718
BTC,price,0.3,0.01,0.8,1.2268321920433962,0.14130313955615748,-0.32420738749508893,0.4358418253448895,0.8031851227772391,0.5528571579088034,0.8028380499220562,0.31050656660412757,2466.952835449545
BTC,price,0.3,0.01,0.9,1.2441018597552906,0.15134013502018306,-0.3540004538030319,0.4275139576639912,0.9145589183388243,0.5892562650343649,0.9014739990502914,0.31050656660412757,2557.7638355224713
BTC,price,0.3,0.02,0.8,1.2279298150516518,0.14194378972556598,-0.3184685572177608,0.4457073909136606,0.8072186758972505,0.5363782419464304,0.8061486145038625,0.31050656660412757,2044.7387862124367
