start,dca_moic,dca_mdd,price_moic,price_mdd,price_coin,time_moic,time_mdd,time_coin
2021-06-01 00:00:00+00:00,0.9326604121525729,-0.6818673610974817,0.9737132634253604,-0.6028421438326883,0.20707220535101836,0.9565923621234521,-0.5804377239823434,0.1740219615346043
2021-09-01 00:00:00+00:00,0.845643011887788,-0.6497896916036482,0.9728485042860621,-0.5546984741578029,0.2293675095300491,0.9654493800605436,-0.5356909794681817,0.18815472885704804
2021-12-01 00:00:00+00:00,1.1311521696775642,-0.6099994609832646,1.1275461670254188,-0.47845134876039574,0.3887822766191951,1.1210736788182494,-0.46366296554439745,0.3721468583656787
2022-03-01 00:00:00+00:00,1.9112296788615228,-0.5395875763747455,1.3439949108647735,-0.39355530935694893,0.11649555305884984,1.3399995204399293,-0.3838398250805902,0.11350491147841464
2022-06-01 00:00:00+00:00,2.135847348593672,-0.5395875763747454,1.3876940965150082,-0.23014864807502733,0.04122285333705192,1.3720329262178688,-0.23014864807502733,0.040721010482175184
2022-09-01 00:00:00+00:00,1.3033487627464289,-0.3961173914834071,1.2486764145386449,-0.14995298488304365,0.5215183556183479,1.2565103755455198,-0.14995298488304365,0.3124915730514147
2022-12-01 00:00:00+00:00,1.789388364141463,-0.3901030692600036,1.5791053822379453,-0.10294508886149556,0.4603107401909001,1.600313051209474,-0.09233141868134132,0.5434573411101884
2023-03-01 00:00:00+00:00,0.9537847093857992,-0.4523947090329279,1.2899409708039749,-0.15306686614427234,0.5715007158743255,1.3238714241362377,-0.15285778883532974,0.45266969782596517
2023-06-01 00:00:00+00:00,1.0614430415599232,-0.5828628120242997,1.43490510429084,-0.27755384012369966,0.7736699747660479,1.480297916148893,-0.25072660928710355,0.8648112637200972
2023-09-01 00:00:00+00:00,1.7486732461787846,-0.5653265169904826,1.6607307518946564,-0.26649103484053716,0.1317966285857956,1.7275971523677547,-0.24010769294152712,0.1449799061765289
2023-12-01 00:00:00+00:00,1.0629734434828866,-0.531789721323097,1.43488614012262,-0.2506020624744798,0.6656184778832103,1.497669323737735,-0.22595547675710714,0.603243023807093
2024-03-01 00:00:00+00:00,0.6748097275210483,-0.5434890622802544,0.9209051537970615,-0.3590426135783181,1.2118594741494706,0.9635385020383113,-0.34854172534985683,1.167532657720261
2024-06-01 00:00:00+00:00,0.7329725772157566,-0.5323292828635333,0.9067116188281867,-0.3520728770360516,1.067370578839028,0.9418279515262888,-0.342382326749054,0.9903692713437368
