start,dca_moic,dca_mdd,A_moic,A_mdd,A_btc,C_moic,C_mdd,C_btc,E_moic,E_mdd,E_btc
2021-06-01 00:00:00+00:00,0.935503917218363,-0.5330175998781941,0.9932381144349052,-0.5352772165444646,0.7828155451814183,0.9744496821049929,-0.5372190192403035,1.0279634273054756,0.9603925629069268,-0.5012977403416513,1.0154550762009305
2021-09-01 00:00:00+00:00,0.9180730657471721,-0.49207908888876783,0.9408858255381409,-0.4941420736520773,1.0225813421513756,0.9385307177670216,-0.49494006494108944,1.0200217443764545,0.9389605635146292,-0.4457359838020918,1.017922356379116
2021-12-01 00:00:00+00:00,1.404406450641303,-0.45058137128688125,1.3069204869555897,-0.45147556330892435,0.39325895702138386,1.4097558504346477,-0.45147556330892435,0.9859360434363145,1.3825424786012666,-0.3844333267354646,0.9731399179954481
2022-03-01 00:00:00+00:00,2.297318493075413,-0.4423628858980967,1.9411243452420834,-0.4423628858980967,0.17330168351081923,2.27419728635607,-0.4423628858980967,0.9782040683708074,2.235011145555517,-0.3489018426368623,0.9644546775750659
2022-06-01 00:00:00+00:00,2.468317743954124,-0.4423628858980967,2.1304268792313135,-0.4423628858980967,0.2825095694423063,2.46511615218125,-0.4423628858980967,0.9806915117380259,2.372275930360177,-0.2279447698900714,0.9497675154456416
2022-09-01 00:00:00+00:00,1.963039715703592,-0.2769903705692528,1.7635330997875023,-0.27023527124065216,0.8922681777338224,1.9994314086844633,-0.27023527124065216,1.011622078284566,1.864031708465007,-0.26930920577634054,0.9450032595242845
2022-12-01 00:00:00+00:00,2.7949712371980793,-0.270092290793425,2.2111919447041575,-0.2481711597967804,0.15921842063299835,2.801550641410408,-0.266269348028897,0.9836719239227307,2.5843837377348517,-0.26538150856639076,0.9144048866104876
2023-03-01 00:00:00+00:00,1.984987831907995,-0.2630823558884059,1.8195271345382744,-0.2365383774034856,0.6480963174059089,2.064942508779036,-0.26028455956996743,1.0252575318583121,1.9667040845560644,-0.25979328172394167,0.9800726832173312
2023-06-01 00:00:00+00:00,2.1219173485288425,-0.2567773071262689,2.0711106511670594,-0.2365383774034855,0.5490350497611436,2.180315870990501,-0.25329137266802826,1.017480371171155,2.072193280808257,-0.25176423418933747,0.967046826953402
2023-09-01 00:00:00+00:00,1.8525198066529291,-0.24992021899049366,1.9029750274482036,-0.2365383774034856,0.7539044212468364,1.9052447137549522,-0.24058479814092604,1.024067624997249,1.8089391245727575,-0.23780050376585593,0.9683677373247374
2023-12-01 00:00:00+00:00,1.2553826687195804,-0.3292809019214481,1.367892902465401,-0.29803567920387286,1.0885546501482557,1.2941376859109992,-0.32660801293190855,1.0298610318040984,1.2888715252873402,-0.32594202878359146,1.0260274942646266
2024-03-01 00:00:00+00:00,0.823229687560869,-0.41274077593596314,0.9024971037054645,-0.39342058193852336,1.0962883352511927,0.843070209543135,-0.41239678528149926,1.0241008339252817,0.853051186476893,-0.40309119051146325,1.0107560436142917
2024-06-01 00:00:00+00:00,0.892733240988346,-0.39251333483418194,0.9593770159923672,-0.3737282205747072,1.0746513873844776,0.9066237581944366,-0.39199016945587073,1.0155595384694227,0.9168905688182155,-0.3809257907260507,0.9517114134452026
