variant,final_btc,n_calls,ex_calls,n_puts,ex_puts,prem_call,prem_put,giveback_call,final,invested,moic,irr_ann,max_dd,btc_ratio,net_edge_vs_dca
A 基準(exp10),0.606701181260263,710,68,0,0,5415.823560811007,0.0,4695.244183397995,44698.3394416293,35000.0,1.27709541261798,0.17026702863531407,-0.4318571400056914,1.0414258863194832,1778.0125813106206
B vol履約價,0.5612273934860541,710,52,0,0,4483.32539802226,0.0,3558.349990728665,41348.08586637501,35000.0,1.181373881896429,0.11443681649777337,-0.42728572269499243,0.9633683825600763,-1572.2409939436693
C 即時回購,0.6000400417070745,710,68,0,0,8837.659419083619,0.0,6919.005606844996,44207.58404834327,35000.0,1.263073829952665,0.16226274973478483,-0.4552281895995327,1.0299917843639421,1287.2571880245887
D 熊態put,0.5691901258979183,710,68,314,23,5232.748518702464,228.91971458223765,4516.876393928837,44097.42143896568,35000.0,1.2599263268275909,0.16045806360892811,-0.4255673568118292,0.9770367186630733,1177.0945786469965
E 全合併,0.5600971831226478,710,52,314,22,6569.234482713021,79.67643234787607,4881.597127798648,42879.44050432282,35000.0,1.2251268715520804,0.14030705555926604,-0.4483331629970767,0.9614283330500475,-40.88635599586269
