start,god_moic,god_mdd,hist_moic,hist_mdd,noinfo_moic,noinfo_mdd,dca_moic,dca_mdd
2018-01-01 00:00:00+00:00,3.162286074035293,-0.22050782197596508,1.0180813561182547,-0.36169066268284533,1.0651638704342399,-0.3579186953647122,1.0983586644358645,-0.4633782840913685
2018-04-01 00:00:00+00:00,3.597563750710079,-0.26139389766756893,0.9353732549452113,-0.4849030168963968,0.9485635057205148,-0.48386070278783333,1.0042426964552715,-0.5939022946710366
2018-07-01 00:00:00+00:00,4.371295154888123,-0.25854579990736837,1.1322843049599034,-0.48228542659145823,1.071094543085909,-0.48143471225860024,1.4284186866634085,-0.5906145355754833
2018-10-01 00:00:00+00:00,4.501794216694094,-0.2545178648204929,1.243868884448137,-0.47884063176845715,1.1551826756645733,-0.4780389588528934,1.6194675615851715,-0.5884631534000445
2019-01-01 00:00:00+00:00,6.1763852456994695,-0.24783280105264283,1.6805554159574392,-0.4731585119973932,1.3916073937659195,-0.47692882040789364,3.9380707471891347,-0.5844686649165715
2019-04-01 00:00:00+00:00,10.2073421331358,-0.23279162438066492,2.4214415674763403,-0.4699617434013583,1.6977779285089798,-0.47692882040789364,6.196714957871096,-0.5729225384920251
2019-07-01 00:00:00+00:00,8.620004615092082,-0.2179768545903893,1.6069042530258106,-0.46996174340135854,1.3303079281285863,-0.47692882040789364,2.9860795485970346,-0.5535612833457362
2019-10-01 00:00:00+00:00,8.735701880916292,-0.21797685459038918,1.6789168883926031,-0.46996174340135854,1.4639453849772883,-0.47692882040789364,3.3296328047260504,-0.5486083336065305
2020-01-01 00:00:00+00:00,7.934999927523786,-0.2179768545903894,1.5273743955964751,-0.46996174340135843,1.362856988118844,-0.47692882040789364,2.9228557740751775,-0.5486083336065304
2020-04-01 00:00:00+00:00,6.649363840910043,-0.17069482631428956,1.4344721991325486,-0.34452170303235563,1.3872024701313381,-0.3719176780339458,2.324197263697808,-0.5268431959742186
2020-07-01 00:00:00+00:00,3.964778504282204,-0.22003837299109397,0.8287013695894581,-0.38277390634506736,0.7338106844063466,-0.45569272502227387,0.7712309405806133,-0.6830968369988213
2020-10-01 00:00:00+00:00,3.1506328711113385,-0.21098676967345642,0.7763049084169112,-0.37039237547525006,0.7660700409420583,-0.446023958250522,0.6375126938916635,-0.6489857095166909
2021-01-01 00:00:00+00:00,2.1216834963937314,-0.2043777623162608,0.6943299505155043,-0.35201900271218045,0.7418813126656251,-0.4321903209053122,0.5033599183500649,-0.5732533245640786
2021-04-01 00:00:00+00:00,2.2862182134505424,-0.2043777623162608,0.9112026531178444,-0.34205874965048744,0.9132042456501084,-0.41536449404179054,0.9372026689663059,-0.5436311825757534
2021-07-01 00:00:00+00:00,2.255021573632656,-0.20437776231626092,0.981970060542039,-0.34205874965048766,1.013137104018491,-0.39000986240593283,1.0602079461418765,-0.5224529254433283
2021-10-01 00:00:00+00:00,1.9848403320937862,-0.2043777623162608,0.9421953476826981,-0.3420587496504873,0.9867720895199624,-0.3850851130994266,0.9736716515380998,-0.4737776121883034
2022-01-01 00:00:00+00:00,2.4747100979132806,-0.20437776231626092,1.1560881194085528,-0.34205874965048744,1.1186022609648996,-0.3850851130994267,1.5899054364540168,-0.4423628858980967
2022-04-01 00:00:00+00:00,3.3923556804440467,-0.2043777623162608,1.496843123615627,-0.34205874965048755,1.3380039657242682,-0.3850851130994267,2.65851244703788,-0.4423628858980967
2022-07-01 00:00:00+00:00,3.2137283798154046,-0.11881448097986724,1.4197888054029317,-0.16760240188620568,1.270713557138123,-0.17837952109716848,2.2505893736659455,-0.27023527124065205
2022-10-01 00:00:00+00:00,3.1225265760866243,-0.11881448097986713,1.4904594763823351,-0.16760240188620557,1.3483874968739171,-0.1783795210971686,2.0211717212969798,-0.27501899452707557
2023-01-01 00:00:00+00:00,3.5247321299538146,-0.11881448097986691,1.588328223011012,-0.15106375719864962,1.4510070795105925,-0.1617854137967033,2.5263569547961247,-0.267294274182279
2023-04-01 00:00:00+00:00,3.251252270727745,-0.09309161853966008,1.3761011950330442,-0.15106375719864973,1.2967303602202533,-0.1617854137967032,1.8348836336170407,-0.260725926209186
2023-07-01 00:00:00+00:00,3.325049348196748,-0.09309161853965997,1.469426218232853,-0.15106375719864984,1.3516350898149407,-0.16178541379670341,2.052478943334588,-0.2533814751260929
2023-10-01 00:00:00+00:00,2.9242613869561556,-0.09309161853966008,1.3915779590269919,-0.15106375719864984,1.2691862185780933,-0.16178541379670308,1.812676187496258,-0.24723059928970303
2024-01-01 00:00:00+00:00,2.395428111315812,-0.1063415443625424,1.1602690025304054,-0.19193653037649727,1.0516244053463095,-0.17873842264690065,1.161371458384922,-0.32765078224990063
2024-04-01 00:00:00+00:00,2.1230885178079757,-0.1063415443625424,1.016619901580042,-0.19193653037649727,1.005835185972851,-0.17855232368243346,0.8352911211213456,-0.4065990311041586
