weight,c,k,avg_n,breach_dn,breach_up,final,invested,moic,irr_ann,max_dd
ewma,2.0,6.0,4.0,0.0891089108910891,0.09900990099009901,211087.20403640316,101000.0,2.0899723171921103,0.16958272679960973,-0.4868259174806181
simple,2.0,6.0,4.0,0.0594059405940594,0.09900990099009901,203076.7211314501,101000.0,2.010660605261882,0.16079288043019901,-0.5133686213839361
simple,2.0,2.0,11.207920792079207,0.0594059405940594,0.09900990099009901,202369.8499222505,101000.0,2.0036618804183215,0.16000044497520705,-0.4914850702041016
simple,2.0,3.0,8.0,0.0594059405940594,0.09900990099009901,197151.40121894339,101000.0,1.951994071474687,0.1540619355494719,-0.4969991538772911
ewma,2.0,3.0,8.0,0.0891089108910891,0.09900990099009901,191903.65446911793,101000.0,1.9000361828625538,0.1479267437224443,-0.4908878064047487
ewma,2.0,2.0,11.138613861386139,0.0891089108910891,0.09900990099009901,185119.5634747644,101000.0,1.8328669650966773,0.1397369829221844,-0.49172923661581724
simple,2.0,1.0,22.277227722772277,0.0594059405940594,0.09900990099009901,180681.87202920354,101000.0,1.7889294260317183,0.13421215788590724,-0.5013219089465398
ewma,2.0,1.0,22.237623762376238,0.0891089108910891,0.09900990099009901,176262.59424607587,101000.0,1.7451742004561968,0.12857034696828062,-0.4900164291626251
simple,1.5,3.0,6.0,0.10891089108910891,0.13861386138613863,175523.3675178993,101000.0,1.7378551239395972,0.12761246969718476,-0.4969400195637229
ewma,1.0,6.0,2.0,0.26732673267326734,0.297029702970297,174955.25903430188,101000.0,1.7322302874683355,0.12687350427427524,-0.5109744401068437
ewma,1.5,3.0,6.0,0.12871287128712872,0.1485148514851485,173719.57969330717,101000.0,1.7199958385475957,0.12525764696516473,-0.49964931664460954
ewma,1.5,6.0,3.0,0.12871287128712872,0.1485148514851485,171919.96074342306,101000.0,1.7021778291428025,0.12288307846046376,-0.4805218176551548
simple,1.5,6.0,3.0,0.10891089108910891,0.13861386138613863,171904.3733590639,101000.0,1.702023498604593,0.12286239962010947,-0.4769688808966229
simple,1.0,6.0,2.0,0.24752475247524752,0.297029702970297,170540.78814782482,101000.0,1.6885226549289585,0.12104590260473924,-0.5283604017944812
ewma,1.5,2.0,8.633663366336634,0.12871287128712872,0.1485148514851485,168184.3576274415,101000.0,1.6651916596776386,0.11787122998348498,-0.5010160607999016
simple,1.0,3.0,4.0,0.24752475247524752,0.297029702970297,166448.9978795718,101000.0,1.6480098799957605,0.1155038173606533,-0.5177047494998355
ewma,1.0,2.0,6.0,0.26732673267326734,0.297029702970297,160391.3089235045,101000.0,1.5880327616188563,0.10703516094034504,-0.5352954527373872
simple,1.5,2.0,8.693069306930694,0.10891089108910891,0.13861386138613863,158868.54348491214,101000.0,1.572955876088239,0.10485422683845624,-0.507767212462653
simple,1.5,1.0,17.0,0.10891089108910891,0.13861386138613863,158608.3445221988,101000.0,1.5703796487346418,0.10447939734569966,-0.5030850691680425
simple,2.0,0.5,44.51485148514851,0.0594059405940594,0.09900990099009901,158570.83445737686,101000.0,1.5700082619542264,0.10442530963952534,-0.4973468893372395
ewma,1.0,3.0,4.0,0.26732673267326734,0.297029702970297,156682.37678399435,101000.0,1.5513106612276668,0.1016849430127067,-0.509241332636642
ewma,1.5,1.0,17.0,0.12871287128712872,0.1485148514851485,155433.70814007614,101000.0,1.5389476053472886,0.09985407837537918,-0.5030317318451025
ewma,2.0,0.5,44.42574257425743,0.0891089108910891,0.09900990099009901,155105.40861354867,101000.0,1.5356971149856304,0.09937016985603297,-0.4945153637814377
simple,1.0,2.0,6.0,0.24752475247524752,0.297029702970297,154632.94821675756,101000.0,1.5310192892748273,0.09867189805584542,-0.5339562835234655
simple,1.5,0.5,33.13861386138614,0.10891089108910891,0.13861386138613863,137938.58899822392,101000.0,1.3657286039428111,0.07245476390040051,-0.5049193835541574
simple,1.0,1.0,11.0,0.24752475247524752,0.297029702970297,137357.78193193913,101000.0,1.3599780389300904,0.07148368704239116,-0.5275185167247223
ewma,1.0,1.0,11.0,0.26732673267326734,0.297029702970297,136767.83474315266,101000.0,1.3541369776549768,0.07049289185020924,-0.5354756942211001
ewma,1.5,0.5,33.118811881188115,0.12871287128712872,0.1485148514851485,133966.60886664956,101000.0,1.3264020679866293,0.06572601708275272,-0.5081821133116956
simple,1.0,0.5,22.0,0.24752475247524752,0.297029702970297,114862.84239221572,101000.0,1.1372558652694627,0.030096833482227137,-0.5362675011179419
ewma,1.0,0.5,22.0,0.26732673267326734,0.297029702970297,113147.86932584018,101000.0,1.1202759339192097,0.026592825257502284,-0.5338095037511368
