start,dca_moic,put_moic,dca_mdd,put_mdd,btc_ratio
2021-06-01 00:00:00+00:00,0.9355092568525938,0.9584781294820227,-0.5330175998781941,-0.5296128923380532,1.0245520951442604
2021-09-01 00:00:00+00:00,0.9180783058902416,0.9414834353507866,-0.49207908888876783,-0.4853533233910349,1.025466199152166
2021-12-01 00:00:00+00:00,1.404414466659857,1.4201631325194455,-0.45058137128688125,-0.4467428595450482,1.0112129058202992
2022-03-01 00:00:00+00:00,2.2973316056238895,2.2912963901808023,-0.4423628858980967,-0.43634133246401907,0.9781805632664377
2022-06-01 00:00:00+00:00,2.4683318325257217,2.455724070480775,-0.4423628858980967,-0.4350971077459832,0.9948920930648669
2022-09-01 00:00:00+00:00,1.9630509202681785,1.9332011454409137,-0.276990370569253,-0.27450491225594487,0.9847941223186504
2022-12-01 00:00:00+00:00,2.7949871902302554,2.6939099564120457,-0.2700922907934251,-0.2679127905953155,0.9638360901961627
2023-03-01 00:00:00+00:00,1.9849991617472187,1.9220875875500152,-0.2630823558884059,-0.26158700335710017,0.9683064097401524
2023-06-01 00:00:00+00:00,2.121929459929234,2.023497492469364,-0.2567773071262688,-0.2545741795983868,0.9535786394003963
2023-09-01 00:00:00+00:00,1.8525303803961177,1.729616342319406,-0.24992021899049366,-0.24701666515059972,0.933650708456448
2023-12-01 00:00:00+00:00,1.255389834145772,1.2144483457659843,-0.329280901921448,-0.3269014984593256,0.9673873795058093
2024-03-01 00:00:00+00:00,0.8232343863604555,0.8228676278348738,-0.41274077593596314,-0.4089151871855051,0.9995543563878218
2024-06-01 00:00:00+00:00,0.8927383364977125,0.8915849034837826,-0.39251333483418194,-0.3872907859673267,0.9509364676233026
