variant,ratio,spacing,opens_with_pos,opens_without_pos,resets_up,resets_dn,final_btc,bucket_btc,bucket_avg_cost,final_pool,interest,avg_exposure,final,invested,moic,irr_ann,max_dd,btc_vs_dca
基準(永遠半倉),0.5,0.03,170,0,99,70,5.674617530908081,5.6477514929057335,19710.265611349685,3023.9540004140426,1175.2601316512123,0.9174559133141649,422027.53557044,101000.0,4.178490451192475,0.32735596611746964,-0.7424773238345058,0.8772582387460056
A: EMA下不建倉,0.5,0.03,98,72,99,70,5.653862128629734,5.63730295601847,19516.185295000938,3232.875943725463,1205.2143072898468,0.908148833644646,421737.70172595495,101000.0,4.175620809167871,0.3271982570680818,-0.7418150213499408,0.8740495911943434
B: EMA上不建倉,0.5,0.03,72,98,99,70,5.494689871276838,5.465328056341862,19806.501606757625,3304.870547874612,1335.4652051033443,0.9093831790579532,409138.7483662035,101000.0,4.050878696695084,0.3202397802314372,-0.7410370004946761,0.8494426157670001
