start,win_vol,dca_moic,dca_mdd,base_moic,base_mdd,base_btc_ratio,base_expo,A_moic,A_mdd,A_btc_ratio,A_expo,B_moic,B_mdd,B_btc_ratio,B_expo
2018-01-01 00:00:00+00:00,0.766323806866304,1.0983586644358645,-0.4633782840913685,1.0002066584409377,-0.3793957748943796,0.86205214378526,0.7419142276973678,1.0016205132009326,-0.37694847704760903,0.8370898425197802,0.7093455826834693,0.981995997024057,-0.3708233954431681,0.843334372959755,0.7285691590858417
2018-04-01 00:00:00+00:00,0.7786735505111864,1.0042426964552715,-0.5939022946710366,0.9132780373491144,-0.5628661457521947,0.902054368245906,0.7084507537219262,0.9182738225559184,-0.5495114452585053,0.8923838052438945,0.665229543003509,0.9176347957853068,-0.5590618537870099,0.9053995923125994,0.6938690467858731
2018-07-01 00:00:00+00:00,0.769931957377744,1.4284186866634085,-0.5906145355754833,1.2489664819170154,-0.5555600882244515,0.8192330496540043,0.6892881418231531,1.2556690501688554,-0.5401244641655087,0.8169569978133889,0.6551086742719822,1.2327741025246814,-0.5496909169201873,0.7877659388185161,0.6752070052803159
2018-10-01 00:00:00+00:00,0.7646684006518033,1.6194675615851715,-0.5884631534000445,1.3643758016751784,-0.5443750496891189,0.7507977956892242,0.7436450226515462,1.3561810970408255,-0.5241465876358615,0.7402725274390263,0.7104936252950115,1.3503125917505394,-0.5374936123799264,0.7238867361963223,0.7194596435157988
2019-01-01 00:00:00+00:00,0.7481271399771523,3.9380707471891347,-0.5844686649165715,2.8665796011431413,-0.5222056937387652,0.6526789100601386,0.6801619772560039,2.8592722005179505,-0.49536283692100214,0.6482081272463931,0.6638154740455439,2.7453838718841705,-0.5116712961544384,0.6104525840398488,0.6432891312953426
2019-04-01 00:00:00+00:00,0.7996744390335366,6.196714957871096,-0.5729225384920251,4.889967936606701,-0.48633216524134504,0.7816749630506665,0.7544705971279291,4.880634987617712,-0.4577138449610427,0.7800880198379051,0.7435221206919469,4.818583542497688,-0.4688237635391126,0.7652246855069885,0.7013708427682857
2019-07-01 00:00:00+00:00,0.8160032582868975,2.9860795485970346,-0.5535612833457362,2.6020756848749578,-0.5281203372031518,0.8675077423490107,0.7773941419216703,2.598578860142025,-0.5280434310558897,0.864486753002611,0.7632557398387513,2.5598132542021688,-0.5260372924298239,0.8515654890845793,0.7250190214914023
2019-10-01 00:00:00+00:00,0.803877547563403,3.3296328047260504,-0.5486083336065305,2.779654842640303,-0.5235542016714627,0.8007819707464269,0.7662584460752834,2.783732283133653,-0.5235412094745516,0.8010283787388901,0.7503871792208205,2.6736305109541365,-0.5202996081666817,0.7678544030310733,0.7250439330019399
2020-01-01 00:00:00+00:00,0.8091928409967412,2.9228557740751775,-0.5486083336065304,2.298339004567825,-0.5144610619223347,0.7566946424950503,0.7752736483416153,2.288116431353037,-0.51428229673895,0.7493755788379816,0.7637766289681381,2.1512688121103887,-0.5084897879663898,0.7016381904104142,0.7373912677912349
2020-04-01 00:00:00+00:00,0.713338987457718,2.324197263697808,-0.5268431959742186,1.617455067866896,-0.49054493719861536,0.6648495825125978,0.7064101875109079,1.6061496333167955,-0.49022925463368594,0.658934162658223,0.698145958807368,1.4658506801437206,-0.474896832333523,0.5922645413386077,0.6457701079246664
2020-07-01 00:00:00+00:00,0.7298943374358252,0.7712309405806133,-0.6830968369988213,0.6430485731997768,-0.6038831588647864,0.799040934166962,0.7546566471610708,0.6476404973885944,-0.5990505107976203,0.7876475832320164,0.7498574975424761,0.6081809869484686,-0.5831089643530337,0.752590598786977,0.6959739672788692
2020-10-01 00:00:00+00:00,0.7405135284953716,0.6375126938916635,-0.6489857095166909,0.6173122580070537,-0.5365125792477827,0.8001073667531885,0.7754345872647437,0.6228362174867936,-0.5289497660378635,0.7865249310031218,0.7645479127709024,0.6116036248599024,-0.5242104177329262,0.7903103483481475,0.7392376358853722
2021-01-01 00:00:00+00:00,0.7319014349801777,0.5033599183500649,-0.5732533245640786,0.5948493060961404,-0.5040908425801295,0.8326403149673713,0.7867919213021272,0.6007832662613344,-0.49248209917300056,0.8123768964197464,0.7686575416895032,0.5980888804714712,-0.4991580958316507,0.8384856051025249,0.7605595079379749
2021-04-01 00:00:00+00:00,0.6847646933254024,0.9372026689663059,-0.5436311825757534,0.9348215677328202,-0.47325793151511064,0.6336557094423994,0.7029507636734942,0.9339455240755878,-0.4584109118238834,0.6290975966150498,0.6785173879002931,0.9360417167053245,-0.4689672304679998,0.6412497814604865,0.6794079108650565
